"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.4216e-06,-1.3963e-06,0.013354,1,0,0,1.19e-07,0
-4.1292e-06,-1.3963e-06,0.013354,1,2.38e-10,2.38e-10,1.19e-07,0
-1.068e-05,-1.3964e-06,0.013354,1,4.76e-10,4.76e-10,1.19e-07,0
-1.7231e-05,-1.3964e-06,0.013354,1,7.14e-10,7.14e-10,1.19e-07,0
-2.3782e-05,-1.3965e-06,0.013353,1,9.52e-10,9.52e-10,1.19e-07,0
-3.0333e-05,-1.3966e-06,0.013353,1,1.19e-09,1.19e-09,1.19e-07,0
-3.6883e-05,-1.3966e-06,0.013353,1,1.428e-09,1.428e-09,1.19e-07,0
-4.3434e-05,-1.3967e-06,0.013353,1,1.666e-09,1.666e-09,1.19e-07,0
-4.9985e-05,-1.3967e-06,0.013353,1,1.904e-09,1.904e-09,1.19e-07,0
-5.6528e-05,-1.3969e-06,0.013352,1,2.142e-09,2.142e-09,1.19e-07,0
-6.3065e-05,-1.3971e-06,0.013352,1,2.38e-09,2.38e-09,1.19e-07,0
-6.9602e-05,-1.3973e-06,0.013351,1,2.618e-09,2.618e-09,1.19e-07,0
-7.6138e-05,-1.3975e-06,0.013351,1,2.856e-09,2.856e-09,1.19e-07,0
-8.2675e-05,-1.3977e-06,0.01335,1,3.094e-09,3.094e-09,1.19e-07,0
-8.9212e-05,-1.3979e-06,0.01335,1,3.332e-09,3.332e-09,1.19e-07,0
-9.5749e-05,-1.3981e-06,0.013349,1,3.57e-09,3.57e-09,1.19e-07,0
-0.00010229,-1.3983e-06,0.013349,1,3.808e-09,3.808e-09,1.19e-07,0
-0.00010882,-1.3985e-06,0.013348,1,4.046e-09,4.046e-09,1.19e-07,0
-0.00011532,-1.3989e-06,0.013347,1,4.284e-09,4.284e-09,1.19e-07,0
-0.00012183,-1.3992e-06,0.013346,1,4.522e-09,4.522e-09,1.19e-07,0
-0.00012834,-1.3996e-06,0.013345,1,4.76e-09,4.76e-09,1.19e-07,0
-0.00013484,-1.3999e-06,0.013344,1,4.998e-09,4.998e-09,1.19e-07,0
-0.00014135,-1.4003e-06,0.013343,1,5.236e-09,5.236e-09,1.19e-07,0
-0.00014786,-1.4006e-06,0.013343,1,5.474e-09,5.474e-09,1.19e-07,0
-0.00015436,-1.401e-06,0.013342,1,5.712e-09,5.712e-09,1.19e-07,0
-0.00016087,-1.4013e-06,0.013341,1,5.95e-09,5.95e-09,1.19e-07,0
-0.00016734,-1.4018e-06,0.013339,1,6.188e-09,6.188e-09,1.19e-07,0
-0.0001738,-1.4023e-06,0.013338,1,6.426e-09,6.426e-09,1.19e-07,0
-0.00018026,-1.4028e-06,0.013337,1,6.664e-09,6.664e-09,1.19e-07,0
-0.00018672,-1.4033e-06,0.013336,1,6.902e-09,6.902e-09,1.19e-07,0
-0.00019318,-1.4038e-06,0.013334,1,7.14e-09,7.14e-09,1.19e-07,0
-0.00019964,-1.4043e-06,0.013333,1,7.378e-09,7.378e-09,1.19e-07,0
-0.00020611,-1.4048e-06,0.013332,1,7.616e-09,7.616e-09,1.19e-07,0
-0.00021257,-1.4053e-06,0.01333,1,7.854e-09,7.854e-09,1.19e-07,0
-0.000219,-1.4059e-06,0.013329,1,8.092e-09,8.092e-09,1.19e-07,0
-0.0002254,-1.4065e-06,0.013327,1,8.33e-09,8.33e-09,1.19e-07,0
-0.0002318,-1.4071e-06,0.013325,1,8.568e-09,8.568e-09,1.19e-07,0
-0.0002382,-1.4078e-06,0.013324,1,8.806e-09,8.806e-09,1.19e-07,0
-0.00024459,-1.4084e-06,0.013322,1,9.044e-09,9.044e-09,1.19e-07,0
-0.00025099,-1.4091e-06,0.01332,1,9.282e-09,9.282e-09,1.19e-07,0
-0.00025739,-1.4097e-06,0.013319,1,9.52e-09,9.52e-09,1.19e-07,0
-0.00026379,-1.4104e-06,0.013317,1,9.758e-09,9.758e-09,1.19e-07,0
-0.00027019,-1.411e-06,0.013315,1,9.996e-09,9.996e-09,1.19e-07,0
-0.00027651,-1.4118e-06,0.013313,1,1.0234e-08,1.0234e-08,1.19e-07,0
-0.00028283,-1.4126e-06,0.013311,1,1.0472e-08,1.0472e-08,1.19e-07,0
