"m:0","m:1","m:2","Points:0","Points:1","Points:2"
8.6852e-06,-5.6644e-05,1,0,0,1.52e-07
-0.00011211,-5.6718e-05,1,2e-09,0,1.52e-07
-0.00023282,-5.7016e-05,1,4e-09,0,1.52e-07
-0.00035332,-5.7548e-05,1,6e-09,0,1.52e-07
-0.00047345,-5.8308e-05,1,8e-09,0,1.52e-07
-0.00059309,-5.9299e-05,1,1e-08,0,1.52e-07
-0.00071207,-6.0533e-05,1,1.2e-08,0,1.52e-07
-0.00083025,-6.1996e-05,1,1.4e-08,0,1.52e-07
-0.00094748,-6.3705e-05,1,1.6e-08,0,1.52e-07
-0.0010636,-6.5657e-05,1,1.8e-08,0,1.52e-07
-0.0011784,-6.7854e-05,1,2e-08,0,1.52e-07
-0.0012917,-7.0303e-05,1,2.2e-08,0,1.52e-07
-0.0014034,-7.3011e-05,1,2.4e-08,0,1.52e-07
-0.0015132,-7.5975e-05,1,2.6e-08,0,1.52e-07
-0.0016209,-7.9206e-05,1,2.8e-08,0,1.52e-07
-0.0017264,-8.2709e-05,1,3e-08,0,1.52e-07
-0.0018293,-8.6489e-05,1,3.2e-08,0,1.52e-07
-0.0019294,-9.0541e-05,1,3.4e-08,0,1.52e-07
-0.0020265,-9.4882e-05,1,3.6e-08,0,1.52e-07
-0.0021203,-9.9508e-05,1,3.8e-08,0,1.52e-07
-0.0022105,-0.00010443,1,4e-08,0,1.52e-07
-0.0022968,-0.00010964,1,4.2e-08,0,1.52e-07
-0.002379,-0.00011516,1,4.4e-08,0,1.52e-07
-0.0024566,-0.00012098,1,4.6e-08,0,1.52e-07
-0.0025294,-0.0001271,1,4.8e-08,0,1.52e-07
-0.0025971,-0.00013352,1,5e-08,0,1.52e-07
-0.0026593,-0.00014024,1,5.2e-08,0,1.52e-07
-0.0027156,-0.00014726,1,5.4e-08,0,1.52e-07
-0.0027658,-0.00015459,1,5.6e-08,0,1.52e-07
-0.0028094,-0.00016219,1,5.8e-08,0,1.52e-07
-0.0028461,-0.00017008,1,6e-08,0,1.52e-07
-0.0028756,-0.00017824,1,6.2e-08,0,1.52e-07
-0.0028975,-0.00018665,1,6.4e-08,0,1.52e-07
-0.0029115,-0.00019531,1,6.6e-08,0,1.52e-07
-0.0029174,-0.0002042,1,6.8e-08,0,1.52e-07
-0.0029148,-0.00021328,1,7e-08,0,1.52e-07
-0.0029034,-0.00022255,1,7.2e-08,0,1.52e-07
-0.0028831,-0.00023197,1,7.4e-08,0,1.52e-07
-0.0028537,-0.00024151,1,7.6e-08,0,1.52e-07
-0.0028149,-0.00025115,1,7.8e-08,0,1.52e-07
-0.0027668,-0.00026083,1,8e-08,0,1.52e-07
-0.0027091,-0.00027053,1,8.2e-08,0,1.52e-07
-0.0026418,-0.00028019,1,8.4e-08,0,1.52e-07
-0.002565,-0.00028977,1,8.6e-08,0,1.52e-07
