"m:0","m:1","m:2","Points:0","Points:1","Points:2"
2.5382e-05,-4.9528e-05,1,0,0,1.52e-07
-8.4665e-05,-4.9557e-05,1,2e-09,0,1.52e-07
-0.00019466,-4.9786e-05,1,4e-09,0,1.52e-07
-0.00030447,-5.0215e-05,1,6e-09,0,1.52e-07
-0.00041398,-5.0848e-05,1,8e-09,0,1.52e-07
-0.00052306,-5.1683e-05,1,1e-08,0,1.52e-07
-0.00063157,-5.2726e-05,1,1.2e-08,0,1.52e-07
-0.00073938,-5.3975e-05,1,1.4e-08,0,1.52e-07
-0.00084635,-5.5437e-05,1,1.6e-08,0,1.52e-07
-0.00095233,-5.7109e-05,1,1.8e-08,0,1.52e-07
-0.0010572,-5.9001e-05,1,2e-08,0,1.52e-07
-0.0011607,-6.1111e-05,1,2.2e-08,0,1.52e-07
-0.0012627,-6.3444e-05,1,2.4e-08,0,1.52e-07
-0.0013631,-6.6004e-05,1,2.6e-08,0,1.52e-07
-0.0014617,-6.8796e-05,1,2.8e-08,0,1.52e-07
-0.0015581,-7.1826e-05,1,3e-08,0,1.52e-07
-0.0016524,-7.5095e-05,1,3.2e-08,0,1.52e-07
-0.0017441,-7.8608e-05,1,3.4e-08,0,1.52e-07
-0.0018331,-8.2366e-05,1,3.6e-08,0,1.52e-07
-0.0019192,-8.6376e-05,1,3.8e-08,0,1.52e-07
-0.0020021,-9.0648e-05,1,4e-08,0,1.52e-07
-0.0020814,-9.517e-05,1,4.2e-08,0,1.52e-07
-0.002157,-9.9955e-05,1,4.4e-08,0,1.52e-07
-0.0022286,-0.000105,1,4.6e-08,0,1.52e-07
-0.0022958,-0.00011032,1,4.8e-08,0,1.52e-07
-0.0023584,-0.00011589,1,5e-08,0,1.52e-07
-0.002416,-0.00012173,1,5.2e-08,0,1.52e-07
-0.0024684,-0.00012783,1,5.4e-08,0,1.52e-07
-0.0025152,-0.00013419,1,5.6e-08,0,1.52e-07
-0.002556,-0.0001408,1,5.8e-08,0,1.52e-07
-0.0025906,-0.00014765,1,6e-08,0,1.52e-07
-0.0026187,-0.00015474,1,6.2e-08,0,1.52e-07
-0.0026399,-0.00016206,1,6.4e-08,0,1.52e-07
-0.002654,-0.00016959,1,6.6e-08,0,1.52e-07
-0.0026606,-0.00017731,1,6.8e-08,0,1.52e-07
-0.0026595,-0.00018521,1,7e-08,0,1.52e-07
-0.0026505,-0.00019327,1,7.2e-08,0,1.52e-07
-0.0026333,-0.00020147,1,7.4e-08,0,1.52e-07
-0.0026077,-0.00020977,1,7.6e-08,0,1.52e-07
-0.0025737,-0.00021815,1,7.8e-08,0,1.52e-07
-0.0025311,-0.00022658,1,8e-08,0,1.52e-07
-0.0024798,-0.00023502,1,8.2e-08,0,1.52e-07
-0.0024198,-0.00024343,1,8.4e-08,0,1.52e-07
-0.002351,-0.00025177,1,8.6e-08,0,1.52e-07
-0.0022735,-0.00026001,1,8.8e-08,0,1.52e-07
-0.0021874,-0.0002681,1,9e-08,0,1.52e-07
-0.0020928,-0.00027598,1,9.2e-08,0,1.52e-07
-0.0019898,-0.00028363,1,9.4e-08,0,1.52e-07
-0.0018788,-0.00029097,1,9.6e-08,0,1.52e-07
-0.0017598,-0.00029798,1,9.8e-08,0,1.52e-07
-0.0016335,-0.0003046,1,1e-07,0,1.52e-07
-0.0015,-0.00031079,1,1.02e-07,0,1.52e-07
-0.00136,-0.00031649,1,1.04e-07,0,1.52e-07
-0.0012138,-0.00032167,1,1.06e-07,0,1.52e-07
-0.0010623,-0.00032628,1,1.08e-07,0,1.52e-07
-0.00090582,-0.00033029,1,1.1e-07,0,1.52e-07
-0.00074524,-0.00033367,1,1.12e-07,0,1.52e-07
-0.00058122,-0.00033638,1,1.14e-07,0,1.52e-07
-0.00041452,-0.00033842,1,1.16e-07,0,1.52e-07
-0.00024595,-0.00033975,1,1.18e-07,0,1.52e-07
-7.6277e-05,-0.00034037,1,1.2e-07,0,1.52e-07
9.366e-05,-0.00034027,1,1.22e-07,0,1.52e-07
0.00026305,-0.00033945,1,1.24e-07,0,1.52e-07
0.00043109,-0.00033792,1,1.26e-07,0,1.52e-07
0.00059698,-0.0003357,1,1.28e-07,0,1.52e-07
0.00075993,-0.0003328,1,1.3e-07,0,1.52e-07
0.00091922,-0.00032924,1,1.32e-07,0,1.52e-07
0.0010741,-0.00032506,1,1.34e-07,0,1.52e-07
0.001224,-0.00032029,1,1.36e-07,0,1.52e-07
0.0013681,-0.00031497,1,1.38e-07,0,1.52e-07
0.0015061,-0.00030913,1,1.4e-07,0,1.52e-07
0.0016373,-0.00030282,1,1.42e-07,0,1.52e-07
0.0017613,-0.00029609,1,1.44e-07,0,1.52e-07
0.0018777,-0.00028898,1,1.46e-07,0,1.52e-07
0.0019862,-0.00028155,1,1.48e-07,0,1.52e-07
0.0020865,-0.00027384,1,1.5e-07,0,1.52e-07
0.0021784,-0.00026589,1,1.52e-07,0,1.52e-07
0.0022618,-0.00025776,1,1.54e-07,0,1.52e-07
0.0023365,-0.00024949,1,1.56e-07,0,1.52e-07
0.0024024,-0.00024112,1,1.58e-07,0,1.52e-07
0.0024597,-0.0002327,1,1.6e-07,0,1.52e-07
0.0025082,-0.00022426,1,1.62e-07,0,1.52e-07
0.0025481,-0.00021585,1,1.64e-07,0,1.52e-07
0.0025794,-0.00020749,1,1.66e-07,0,1.52e-07
0.0026023,-0.00019921,1,1.68e-07,0,1.52e-07
0.002617,-0.00019105,1,1.7e-07,0,1.52e-07
0.0026235,-0.00018303,1,1.72e-07,0,1.52e-07
0.0026222,-0.00017518,1,1.74e-07,0,1.52e-07
0.0026134,-0.00016751,1,1.76e-07,0,1.52e-07
0.0025972,-0.00016004,1,1.78e-07,0,1.52e-07
