"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7006e-05,-1.3134e-06,0.014302,1,0,0,1.19e-07,0
0.00011443,-1.3245e-06,0.0143,1,2.38e-10,2.38e-10,1.19e-07,0
0.00013186,-1.3355e-06,0.014299,1,4.76e-10,4.76e-10,1.19e-07,0
0.00014929,-1.3466e-06,0.014298,1,7.14e-10,7.14e-10,1.19e-07,0
0.00016672,-1.3577e-06,0.014297,1,9.52e-10,9.52e-10,1.19e-07,0
0.00018415,-1.3687e-06,0.014296,1,1.19e-09,1.19e-09,1.19e-07,0
0.00020157,-1.3798e-06,0.014295,1,1.428e-09,1.428e-09,1.19e-07,0
0.000219,-1.3909e-06,0.014294,1,1.666e-09,1.666e-09,1.19e-07,0
0.00023643,-1.4019e-06,0.014293,1,1.904e-09,1.904e-09,1.19e-07,0
0.00025383,-1.4133e-06,0.014291,1,2.142e-09,2.142e-09,1.19e-07,0
0.00027122,-1.4248e-06,0.014289,1,2.38e-09,2.38e-09,1.19e-07,0
0.00028861,-1.4363e-06,0.014287,1,2.618e-09,2.618e-09,1.19e-07,0
0.000306,-1.4479e-06,0.014285,1,2.856e-09,2.856e-09,1.19e-07,0
0.00032339,-1.4594e-06,0.014283,1,3.094e-09,3.094e-09,1.19e-07,0
0.00034078,-1.471e-06,0.014281,1,3.332e-09,3.332e-09,1.19e-07,0
0.00035817,-1.4825e-06,0.014279,1,3.57e-09,3.57e-09,1.19e-07,0
0.00037556,-1.494e-06,0.014277,1,3.808e-09,3.808e-09,1.19e-07,0
0.00039294,-1.5057e-06,0.014275,1,4.046e-09,4.046e-09,1.19e-07,0
0.00041026,-1.5177e-06,0.014272,1,4.284e-09,4.284e-09,1.19e-07,0
0.00042758,-1.5297e-06,0.014269,1,4.522e-09,4.522e-09,1.19e-07,0
0.0004449,-1.5417e-06,0.014266,1,4.76e-09,4.76e-09,1.19e-07,0
0.00046222,-1.5538e-06,0.014263,1,4.998e-09,4.998e-09,1.19e-07,0
0.00047953,-1.5658e-06,0.01426,1,5.236e-09,5.236e-09,1.19e-07,0
0.00049685,-1.5778e-06,0.014257,1,5.474e-09,5.474e-09,1.19e-07,0
0.00051417,-1.5898e-06,0.014254,1,5.712e-09,5.712e-09,1.19e-07,0
0.00053149,-1.6019e-06,0.014251,1,5.95e-09,5.95e-09,1.19e-07,0
0.00054873,-1.6143e-06,0.014247,1,6.188e-09,6.188e-09,1.19e-07,0
0.00056595,-1.6268e-06,0.014243,1,6.426e-09,6.426e-09,1.19e-07,0
0.00058317,-1.6393e-06,0.014239,1,6.664e-09,6.664e-09,1.19e-07,0
