"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.9954e-05,2.1349e-05,1,1,0,0,1.19e-07,1.52e-07
-0.00015543,2.136e-05,1,1,2.38e-10,2.38e-10,1.19e-07,1.52e-07
-0.00029091,2.1371e-05,1,1,4.76e-10,4.76e-10,1.19e-07,1.52e-07
-0.00042638,2.1382e-05,1,1,7.14e-10,7.14e-10,1.19e-07,1.52e-07
-0.00056186,2.1393e-05,1,1,9.52e-10,9.52e-10,1.19e-07,1.52e-07
-0.00069734,2.1404e-05,1,1,1.19e-09,1.19e-09,1.19e-07,1.52e-07
-0.00083281,2.1415e-05,1,1,1.428e-09,1.428e-09,1.19e-07,1.52e-07
-0.00096829,2.1426e-05,1,1,1.666e-09,1.666e-09,1.19e-07,1.52e-07
-0.0011038,2.1437e-05,1,1,1.904e-09,1.904e-09,1.19e-07,1.52e-07
-0.0012402,2.1459e-05,1,1,2.142e-09,2.142e-09,1.19e-07,1.52e-07
-0.0013772,2.1489e-05,1,1,2.38e-09,2.38e-09,1.19e-07,1.52e-07
-0.0015143,2.1519e-05,1,1,2.618e-09,2.618e-09,1.19e-07,1.52e-07
-0.0016514,2.1549e-05,1,1,2.856e-09,2.856e-09,1.19e-07,1.52e-07
-0.0017884,2.1579e-05,1,1,3.094e-09,3.094e-09,1.19e-07,1.52e-07
-0.0019255,2.1609e-05,1,1,3.332e-09,3.332e-09,1.19e-07,1.52e-07
-0.0020625,2.1639e-05,1,1,3.57e-09,3.57e-09,1.19e-07,1.52e-07
-0.0021996,2.1669e-05,1,1,3.808e-09,3.808e-09,1.19e-07,1.52e-07
-0.0023373,2.1703e-05,1,1,4.046e-09,4.046e-09,1.19e-07,1.52e-07
-0.0024775,2.1753e-05,1,1,4.284e-09,4.284e-09,1.19e-07,1.52e-07
-0.0026178,2.1803e-05,1,1,4.522e-09,4.522e-09,1.19e-07,1.52e-07
-0.0027581,2.1853e-05,1,1,4.76e-09,4.76e-09,1.19e-07,1.52e-07
-0.0028984,2.1903e-05,1,1,4.998e-09,4.998e-09,1.19e-07,1.52e-07
-0.0030387,2.1953e-05,1,1,5.236e-09,5.236e-09,1.19e-07,1.52e-07
-0.0031789,2.2004e-05,0.99999,1,5.474e-09,5.474e-09,1.19e-07,1.52e-07
-0.0033192,2.2054e-05,0.99999,1,5.712e-09,5.712e-09,1.19e-07,1.52e-07
-0.0034595,2.2104e-05,0.99999,1,5.95e-09,5.95e-09,1.19e-07,1.52e-07
-0.0036037,2.2171e-05,0.99999,1,6.188e-09,6.188e-09,1.19e-07,1.52e-07
-0.003749,2.2243e-05,0.99999,1,6.426e-09,6.426e-09,1.19e-07,1.52e-07
-0.0038943,2.2315e-05,0.99999,1,6.664e-09,6.664e-09,1.19e-07,1.52e-07
-0.0040396,2.2387e-05,0.99999,1,6.902e-09,6.902e-09,1.19e-07,1.52e-07
-0.0041848,2.246e-05,0.99999,1,7.14e-09,7.14e-09,1.19e-07,1.52e-07
-0.0043301,2.2532e-05,0.99999,1,7.378e-09,7.378e-09,1.19e-07,1.52e-07
-0.0044754,2.2604e-05,0.99999,1,7.616e-09,7.616e-09,1.19e-07,1.52e-07
-0.0046207,2.2676e-05,0.99999,1,7.854e-09,7.854e-09,1.19e-07,1.52e-07
-0.0047687,2.2757e-05,0.99999,1,8.092e-09,8.092e-09,1.19e-07,1.52e-07
-0.0049209,2.2853e-05,0.99999,1,8.33e-09,8.33e-09,1.19e-07,1.52e-07
-0.0050732,2.2948e-05,0.99999,1,8.568e-09,8.568e-09,1.19e-07,1.52e-07
-0.0052254,2.3044e-05,0.99999,1,8.806e-09,8.806e-09,1.19e-07,1.52e-07
-0.0053777,2.314e-05,0.99999,1,9.044e-09,9.044e-09,1.19e-07,1.52e-07
-0.0055299,2.3236e-05,0.99998,1,9.282e-09,9.282e-09,1.19e-07,1.52e-07
-0.0056822,2.3331e-05,0.99998,1,9.52e-09,9.52e-09,1.19e-07,1.52e-07
-0.0058344,2.3427e-05,0.99998,1,9.758e-09,9.758e-09,1.19e-07,1.52e-07
-0.0059867,2.3523e-05,0.99998,1,9.996e-09,9.996e-09,1.19e-07,1.52e-07
-0.006148,2.3645e-05,0.99998,1,1.0234e-08,1.0234e-08,1.19e-07,1.52e-07
-0.0063095,2.3767e-05,0.99998,1,1.0472e-08,1.0472e-08,1.19e-07,1.52e-07
-0.0064709,2.389e-05,0.99998,1,1.071e-08,1.071e-08,1.19e-07,1.52e-07
-0.0066324,2.4013e-05,0.99998,1,1.0948e-08,1.0948e-08,1.19e-07,1.52e-07
-0.0067939,2.4135e-05,0.99998,1,1.1186e-08,1.1186e-08,1.19e-07,1.52e-07
-0.0069554,2.4258e-05,0.99998,1,1.1424e-08,1.1424e-08,1.19e-07,1.52e-07
-0.0071168,2.4381e-05,0.99997,1,1.1662e-08,1.1662e-08,1.19e-07,1.52e-07
-0.0072783,2.4503e-05,0.99997,1,1.19e-08,1.19e-08,1.19e-07,1.52e-07
-0.0074467,2.4644e-05,0.99997,1,1.2138e-08,1.2138e-08,1.19e-07,1.52e-07
-0.00762,2.4798e-05,0.99997,1,1.2376e-08,1.2376e-08,1.19e-07,1.52e-07
-0.0077934,2.4952e-05,0.99997,1,1.2614e-08,1.2614e-08,1.19e-07,1.52e-07
-0.0079667,2.5106e-05,0.99997,1,1.2852e-08,1.2852e-08,1.19e-07,1.52e-07
-0.0081401,2.526e-05,0.99997,1,1.309e-08,1.309e-08,1.19e-07,1.52e-07
-0.0083134,2.5414e-05,0.99997,1,1.3328e-08,1.3328e-08,1.19e-07,1.52e-07
-0.0084868,2.5568e-05,0.99996,1,1.3566e-08,1.3566e-08,1.19e-07,1.52e-07
-0.0086601,2.5722e-05,0.99996,1,1.3804e-08,1.3804e-08,1.19e-07,1.52e-07
-0.0088361,2.5882e-05,0.99996,1,1.4042e-08,1.4042e-08,1.19e-07,1.52e-07
-0.0090245,2.6071e-05,0.99996,1,1.428e-08,1.428e-08,1.19e-07,1.52e-07
-0.0092128,2.6261e-05,0.99996,1,1.4518e-08,1.4518e-08,1.19e-07,1.52e-07
-0.0094012,2.645e-05,0.99996,1,1.4756e-08,1.4756e-08,1.19e-07,1.52e-07
-0.0095895,2.6639e-05,0.99995,1,1.4994e-08,1.4994e-08,1.19e-07,1.52e-07
-0.0097779,2.6828e-05,0.99995,1,1.5232e-08,1.5232e-08,1.19e-07,1.52e-07
-0.0099662,2.7017e-05,0.99995,1,1.547e-08,1.547e-08,1.19e-07,1.52e-07
-0.010155,2.7207e-05,0.99995,1,1.5708e-08,1.5708e-08,1.19e-07,1.52e-07
-0.010343,2.7396e-05,0.99995,1,1.5946e-08,1.5946e-08,1.19e-07,1.52e-07
