"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0019091,8.7517e-06,0.013062,1,1.666e-08,1.666e-08,1.19e-07,0
0.0019319,8.7912e-06,0.013049,1,1.6898e-08,1.6898e-08,1.19e-07,0
0.0019548,8.8307e-06,0.013036,1,1.7136e-08,1.7136e-08,1.19e-07,0
0.0019777,8.8703e-06,0.013023,1,1.7374e-08,1.7374e-08,1.19e-07,0
0.0020006,8.9098e-06,0.01301,1,1.7612e-08,1.7612e-08,1.19e-07,0
0.0020235,8.9494e-06,0.012997,1,1.785e-08,1.785e-08,1.19e-07,0
0.0020463,8.9896e-06,0.012984,1,1.8088e-08,1.8088e-08,1.19e-07,0
0.0020687,9.0311e-06,0.01297,1,1.8326e-08,1.8326e-08,1.19e-07,0
0.0020911,9.0726e-06,0.012955,1,1.8564e-08,1.8564e-08,1.19e-07,0
0.0021135,9.1141e-06,0.012941,1,1.8802e-08,1.8802e-08,1.19e-07,0
0.0021359,9.1555e-06,0.012927,1,1.904e-08,1.904e-08,1.19e-07,0
0.0021583,9.197e-06,0.012913,1,1.9278e-08,1.9278e-08,1.19e-07,0
0.0021807,9.2385e-06,0.012898,1,1.9516e-08,1.9516e-08,1.19e-07,0
0.0022032,9.28e-06,0.012884,1,1.9754e-08,1.9754e-08,1.19e-07,0
0.0022256,9.3214e-06,0.01287,1,1.9992e-08,1.9992e-08,1.19e-07,0
0.0022475,9.3648e-06,0.012854,1,2.023e-08,2.023e-08,1.19e-07,0
0.0022693,9.4082e-06,0.012839,1,2.0468e-08,2.0468e-08,1.19e-07,0
0.0022912,9.4516e-06,0.012823,1,2.0706e-08,2.0706e-08,1.19e-07,0
0.0023131,9.495e-06,0.012808,1,2.0944e-08,2.0944e-08,1.19e-07,0
0.002335,9.5383e-06,0.012792,1,2.1182e-08,2.1182e-08,1.19e-07,0
0.0023569,9.5817e-06,0.012776,1,2.142e-08,2.142e-08,1.19e-07,0
0.0023787,9.6251e-06,0.012761,1,2.1658e-08,2.1658e-08,1.19e-07,0
0.0024006,9.6685e-06,0.012745,1,2.1896e-08,2.1896e-08,1.19e-07,0
0.0024222,9.713e-06,0.012729,1,2.2134e-08,2.2134e-08,1.19e-07,0
0.0024435,9.7583e-06,0.012712,1,2.2372e-08,2.2372e-08,1.19e-07,0
0.0024648,9.8035e-06,0.012695,1,2.261e-08,2.261e-08,1.19e-07,0
0.002486,9.8488e-06,0.012678,1,2.2848e-08,2.2848e-08,1.19e-07,0
0.0025073,9.8941e-06,0.012662,1,2.3086e-08,2.3086e-08,1.19e-07,0
0.0025286,9.9394e-06,0.012645,1,2.3324e-08,2.3324e-08,1.19e-07,0
0.0025499,9.9846e-06,0.012628,1,2.3562e-08,2.3562e-08,1.19e-07,0
0.0025712,1.003e-05,0.012611,1,2.38e-08,2.38e-08,1.19e-07,0
0.0025924,1.0075e-05,0.012594,1,2.4038e-08,2.4038e-08,1.19e-07,0
0.002613,1.0123e-05,0.012576,1,2.4276e-08,2.4276e-08,1.19e-07,0
0.0026337,1.017e-05,0.012558,1,2.4514e-08,2.4514e-08,1.19e-07,0
0.0026543,1.0217e-05,0.01254,1,2.4752e-08,2.4752e-08,1.19e-07,0
0.002675,1.0264e-05,0.012522,1,2.499e-08,2.499e-08,1.19e-07,0
0.0026956,1.0311e-05,0.012503,1,2.5228e-08,2.5228e-08,1.19e-07,0
0.0027163,1.0358e-05,0.012485,1,2.5466e-08,2.5466e-08,1.19e-07,0
0.0027369,1.0405e-05,0.012467,1,2.5704e-08,2.5704e-08,1.19e-07,0
0.0027575,1.0452e-05,0.012449,1,2.5942e-08,2.5942e-08,1.19e-07,0
0.0027777,1.0501e-05,0.01243,1,2.618e-08,2.618e-08,1.19e-07,0
0.0027976,1.055e-05,0.012411,1,2.6418e-08,2.6418e-08,1.19e-07,0
0.0028175,1.0599e-05,0.012391,1,2.6656e-08,2.6656e-08,1.19e-07,0
0.0028375,1.0648e-05,0.012372,1,2.6894e-08,2.6894e-08,1.19e-07,0
0.0028574,1.0697e-05,0.012353,1,2.7132e-08,2.7132e-08,1.19e-07,0
0.0028774,1.0746e-05,0.012333,1,2.737e-08,2.737e-08,1.19e-07,0
0.0028973,1.0794e-05,0.012314,1,2.7608e-08,2.7608e-08,1.19e-07,0
0.0029173,1.0843e-05,0.012295,1,2.7846e-08,2.7846e-08,1.19e-07,0
0.0029369,1.0893e-05,0.012275,1,2.8084e-08,2.8084e-08,1.19e-07,0
0.0029561,1.0944e-05,0.012254,1,2.8322e-08,2.8322e-08,1.19e-07,0
0.0029753,1.0994e-05,0.012234,1,2.856e-08,2.856e-08,1.19e-07,0
0.0029945,1.1045e-05,0.012213,1,2.8798e-08,2.8798e-08,1.19e-07,0
0.0030137,1.1096e-05,0.012193,1,2.9036e-08,2.9036e-08,1.19e-07,0
0.0030329,1.1146e-05,0.012172,1,2.9274e-08,2.9274e-08,1.19e-07,0
0.003052,1.1197e-05,0.012152,1,2.9512e-08,2.9512e-08,1.19e-07,0
0.0030712,1.1247e-05,0.012131,1,2.975e-08,2.975e-08,1.19e-07,0
0.0030904,1.1298e-05,0.01211,1,2.9988e-08,2.9988e-08,1.19e-07,0
0.0031088,1.135e-05,0.012089,1,3.0226e-08,3.0226e-08,1.19e-07,0
0.0031272,1.1403e-05,0.012067,1,3.0464e-08,3.0464e-08,1.19e-07,0
0.0031456,1.1455e-05,0.012045,1,3.0702e-08,3.0702e-08,1.19e-07,0
0.0031639,1.1507e-05,0.012024,1,3.094e-08,3.094e-08,1.19e-07,0
0.0031823,1.156e-05,0.012002,1,3.1178e-08,3.1178e-08,1.19e-07,0
0.0032007,1.1612e-05,0.01198,1,3.1416e-08,3.1416e-08,1.19e-07,0
0.003219,1.1664e-05,0.011958,1,3.1654e-08,3.1654e-08,1.19e-07,0
0.0032374,1.1717e-05,0.011937,1,3.1892e-08,3.1892e-08,1.19e-07,0
0.0032553,1.177e-05,0.011914,1,3.213e-08,3.213e-08,1.19e-07,0
0.0032728,1.1824e-05,0.011891,1,3.2368e-08,3.2368e-08,1.19e-07,0
0.0032903,1.1878e-05,0.011868,1,3.2606e-08,3.2606e-08,1.19e-07,0
0.0033078,1.1932e-05,0.011846,1,3.2844e-08,3.2844e-08,1.19e-07,0
0.0033253,1.1985e-05,0.011823,1,3.3082e-08,3.3082e-08,1.19e-07,0
0.0033428,1.2039e-05,0.0118,1,3.332e-08,3.332e-08,1.19e-07,0
0.0033603,1.2093e-05,0.011777,1,3.3558e-08,3.3558e-08,1.19e-07,0
0.0033778,1.2147e-05,0.011754,1,3.3796e-08,3.3796e-08,1.19e-07,0
0.0033951,1.2201e-05,0.011731,1,3.4034e-08,3.4034e-08,1.19e-07,0
0.0034117,1.2257e-05,0.011707,1,3.4272e-08,3.4272e-08,1.19e-07,0
0.0034283,1.2312e-05,0.011683,1,3.451e-08,3.451e-08,1.19e-07,0
0.0034448,1.2368e-05,0.011659,1,3.4748e-08,3.4748e-08,1.19e-07,0
0.0034614,1.2423e-05,0.011635,1,3.4986e-08,3.4986e-08,1.19e-07,0
0.003478,1.2478e-05,0.011611,1,3.5224e-08,3.5224e-08,1.19e-07,0
0.0034945,1.2534e-05,0.011587,1,3.5462e-08,3.5462e-08,1.19e-07,0
