"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00060304,3.6848e-06,0.012137,1,1.6184e-08,1.6184e-08,1.19e-07,0
-0.00061115,3.6872e-06,0.012132,1,1.6422e-08,1.6422e-08,1.19e-07,0
-0.00061926,3.6896e-06,0.012128,1,1.666e-08,1.666e-08,1.19e-07,0
-0.00062737,3.692e-06,0.012123,1,1.6898e-08,1.6898e-08,1.19e-07,0
-0.00063549,3.6944e-06,0.012119,1,1.7136e-08,1.7136e-08,1.19e-07,0
-0.0006436,3.6968e-06,0.012114,1,1.7374e-08,1.7374e-08,1.19e-07,0
-0.00065171,3.6992e-06,0.01211,1,1.7612e-08,1.7612e-08,1.19e-07,0
-0.00065982,3.7016e-06,0.012105,1,1.785e-08,1.785e-08,1.19e-07,0
-0.00066786,3.7041e-06,0.012101,1,1.8088e-08,1.8088e-08,1.19e-07,0
-0.00067577,3.7068e-06,0.012096,1,1.8326e-08,1.8326e-08,1.19e-07,0
-0.00068368,3.7095e-06,0.012091,1,1.8564e-08,1.8564e-08,1.19e-07,0
-0.00069159,3.7121e-06,0.012086,1,1.8802e-08,1.8802e-08,1.19e-07,0
-0.00069949,3.7148e-06,0.012081,1,1.904e-08,1.904e-08,1.19e-07,0
-0.0007074,3.7175e-06,0.012076,1,1.9278e-08,1.9278e-08,1.19e-07,0
-0.00071531,3.7201e-06,0.012071,1,1.9516e-08,1.9516e-08,1.19e-07,0
-0.00072322,3.7228e-06,0.012066,1,1.9754e-08,1.9754e-08,1.19e-07,0
-0.00073113,3.7255e-06,0.012061,1,1.9992e-08,1.9992e-08,1.19e-07,0
-0.00073882,3.7284e-06,0.012055,1,2.023e-08,2.023e-08,1.19e-07,0
-0.0007465,3.7313e-06,0.01205,1,2.0468e-08,2.0468e-08,1.19e-07,0
-0.00075419,3.7342e-06,0.012045,1,2.0706e-08,2.0706e-08,1.19e-07,0
-0.00076187,3.7372e-06,0.012039,1,2.0944e-08,2.0944e-08,1.19e-07,0
-0.00076955,3.7401e-06,0.012034,1,2.1182e-08,2.1182e-08,1.19e-07,0
-0.00077724,3.743e-06,0.012028,1,2.142e-08,2.142e-08,1.19e-07,0
-0.00078492,3.746e-06,0.012023,1,2.1658e-08,2.1658e-08,1.19e-07,0
-0.0007926,3.7489e-06,0.012017,1,2.1896e-08,2.1896e-08,1.19e-07,0
-0.00080015,3.752e-06,0.012012,1,2.2134e-08,2.2134e-08,1.19e-07,0
-0.00080758,3.7552e-06,0.012006,1,2.2372e-08,2.2372e-08,1.19e-07,0
-0.00081502,3.7583e-06,0.012,1,2.261e-08,2.261e-08,1.19e-07,0
-0.00082246,3.7615e-06,0.011994,1,2.2848e-08,2.2848e-08,1.19e-07,0
-0.00082989,3.7647e-06,0.011988,1,2.3086e-08,2.3086e-08,1.19e-07,0
-0.00083733,3.7679e-06,0.011982,1,2.3324e-08,2.3324e-08,1.19e-07,0
-0.00084476,3.7711e-06,0.011976,1,2.3562e-08,2.3562e-08,1.19e-07,0
-0.0008522,3.7743e-06,0.01197,1,2.38e-08,2.38e-08,1.19e-07,0
-0.0008596,3.7775e-06,0.011964,1,2.4038e-08,2.4038e-08,1.19e-07,0
-0.00086676,3.7809e-06,0.011958,1,2.4276e-08,2.4276e-08,1.19e-07,0
-0.00087393,3.7844e-06,0.011951,1,2.4514e-08,2.4514e-08,1.19e-07,0
-0.0008811,3.7878e-06,0.011945,1,2.4752e-08,2.4752e-08,1.19e-07,0
-0.00088827,3.7913e-06,0.011939,1,2.499e-08,2.499e-08,1.19e-07,0
-0.00089544,3.7947e-06,0.011932,1,2.5228e-08,2.5228e-08,1.19e-07,0
-0.00090261,3.7981e-06,0.011926,1,2.5466e-08,2.5466e-08,1.19e-07,0
-0.00090978,3.8016e-06,0.011919,1,2.5704e-08,2.5704e-08,1.19e-07,0
-0.00091694,3.805e-06,0.011913,1,2.5942e-08,2.5942e-08,1.19e-07,0
-0.00092389,3.8086e-06,0.011906,1,2.618e-08,2.618e-08,1.19e-07,0
