"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00038779,-3.3538e-06,0.013425,1,1.5708e-08,1.5708e-08,1.19e-07,0
-0.00039352,-3.3565e-06,0.013423,1,1.5946e-08,1.5946e-08,1.19e-07,0
-0.00039916,-3.3594e-06,0.01342,1,1.6184e-08,1.6184e-08,1.19e-07,0
-0.00040478,-3.3625e-06,0.013417,1,1.6422e-08,1.6422e-08,1.19e-07,0
-0.00041039,-3.3655e-06,0.013414,1,1.666e-08,1.666e-08,1.19e-07,0
-0.00041601,-3.3686e-06,0.013411,1,1.6898e-08,1.6898e-08,1.19e-07,0
-0.00042163,-3.3716e-06,0.013408,1,1.7136e-08,1.7136e-08,1.19e-07,0
-0.00042724,-3.3747e-06,0.013405,1,1.7374e-08,1.7374e-08,1.19e-07,0
-0.00043286,-3.3777e-06,0.013402,1,1.7612e-08,1.7612e-08,1.19e-07,0
-0.00043848,-3.3808e-06,0.013399,1,1.785e-08,1.785e-08,1.19e-07,0
-0.00044404,-3.384e-06,0.013396,1,1.8088e-08,1.8088e-08,1.19e-07,0
-0.00044953,-3.3874e-06,0.013393,1,1.8326e-08,1.8326e-08,1.19e-07,0
-0.00045501,-3.3908e-06,0.013389,1,1.8564e-08,1.8564e-08,1.19e-07,0
-0.0004605,-3.3942e-06,0.013386,1,1.8802e-08,1.8802e-08,1.19e-07,0
-0.00046598,-3.3976e-06,0.013383,1,1.904e-08,1.904e-08,1.19e-07,0
-0.00047147,-3.401e-06,0.013379,1,1.9278e-08,1.9278e-08,1.19e-07,0
-0.00047696,-3.4044e-06,0.013376,1,1.9516e-08,1.9516e-08,1.19e-07,0
-0.00048244,-3.4078e-06,0.013373,1,1.9754e-08,1.9754e-08,1.19e-07,0
-0.00048793,-3.4112e-06,0.01337,1,1.9992e-08,1.9992e-08,1.19e-07,0
-0.00049327,-3.4149e-06,0.013366,1,2.023e-08,2.023e-08,1.19e-07,0
-0.00049861,-3.4186e-06,0.013362,1,2.0468e-08,2.0468e-08,1.19e-07,0
-0.00050395,-3.4224e-06,0.013359,1,2.0706e-08,2.0706e-08,1.19e-07,0
-0.00050929,-3.4261e-06,0.013355,1,2.0944e-08,2.0944e-08,1.19e-07,0
