"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.9075e-05,-1.3594e-05,1,1,0,0,1.19e-07,1.52e-07
-4.8955e-05,-1.3608e-05,1,1,2.38e-10,2.38e-10,1.19e-07,1.52e-07
-0.00015698,-1.3622e-05,1,1,4.76e-10,4.76e-10,1.19e-07,1.52e-07
-0.00026501,-1.3636e-05,1,1,7.14e-10,7.14e-10,1.19e-07,1.52e-07
-0.00037304,-1.365e-05,1,1,9.52e-10,9.52e-10,1.19e-07,1.52e-07
-0.00048107,-1.3663e-05,1,1,1.19e-09,1.19e-09,1.19e-07,1.52e-07
-0.0005891,-1.3677e-05,1,1,1.428e-09,1.428e-09,1.19e-07,1.52e-07
-0.00069713,-1.3691e-05,1,1,1.666e-09,1.666e-09,1.19e-07,1.52e-07
-0.00080516,-1.3705e-05,1,1,1.904e-09,1.904e-09,1.19e-07,1.52e-07
-0.0009138,-1.3726e-05,1,1,2.142e-09,2.142e-09,1.19e-07,1.52e-07
-0.0010229,-1.3753e-05,1,1,2.38e-09,2.38e-09,1.19e-07,1.52e-07
-0.0011319,-1.3779e-05,1,1,2.618e-09,2.618e-09,1.19e-07,1.52e-07
-0.001241,-1.3806e-05,1,1,2.856e-09,2.856e-09,1.19e-07,1.52e-07
-0.00135,-1.3832e-05,1,1,3.094e-09,3.094e-09,1.19e-07,1.52e-07
-0.0014591,-1.3859e-05,1,1,3.332e-09,3.332e-09,1.19e-07,1.52e-07
-0.0015681,-1.3885e-05,1,1,3.57e-09,3.57e-09,1.19e-07,1.52e-07
-0.0016772,-1.3912e-05,1,1,3.808e-09,3.808e-09,1.19e-07,1.52e-07
-0.0017866,-1.3941e-05,1,1,4.046e-09,4.046e-09,1.19e-07,1.52e-07
-0.0018979,-1.398e-05,1,1,4.284e-09,4.284e-09,1.19e-07,1.52e-07
-0.0020091,-1.4019e-05,1,1,4.522e-09,4.522e-09,1.19e-07,1.52e-07
-0.0021203,-1.4058e-05,1,1,4.76e-09,4.76e-09,1.19e-07,1.52e-07
-0.0022316,-1.4097e-05,1,1,4.998e-09,4.998e-09,1.19e-07,1.52e-07
-0.0023428,-1.4136e-05,1,1,5.236e-09,5.236e-09,1.19e-07,1.52e-07
-0.002454,-1.4175e-05,1,1,5.474e-09,5.474e-09,1.19e-07,1.52e-07
-0.0025653,-1.4215e-05,1,1,5.712e-09,5.712e-09,1.19e-07,1.52e-07
-0.0026765,-1.4254e-05,1,1,5.95e-09,5.95e-09,1.19e-07,1.52e-07
-0.0027905,-1.4304e-05,1,1,6.188e-09,6.188e-09,1.19e-07,1.52e-07
-0.0029051,-1.4358e-05,1,1,6.426e-09,6.426e-09,1.19e-07,1.52e-07
-0.0030198,-1.4411e-05,1,1,6.664e-09,6.664e-09,1.19e-07,1.52e-07
-0.0031345,-1.4465e-05,0.99999,1,6.902e-09,6.902e-09,1.19e-07,1.52e-07
-0.0032491,-1.4518e-05,0.99999,1,7.14e-09,7.14e-09,1.19e-07,1.52e-07
-0.0033638,-1.4572e-05,0.99999,1,7.378e-09,7.378e-09,1.19e-07,1.52e-07
-0.0034784,-1.4625e-05,0.99999,1,7.616e-09,7.616e-09,1.19e-07,1.52e-07
-0.0035931,-1.4679e-05,0.99999,1,7.854e-09,7.854e-09,1.19e-07,1.52e-07
-0.0037096,-1.4738e-05,0.99999,1,8.092e-09,8.092e-09,1.19e-07,1.52e-07
-0.0038291,-1.4807e-05,0.99999,1,8.33e-09,8.33e-09,1.19e-07,1.52e-07
-0.0039485,-1.4876e-05,0.99999,1,8.568e-09,8.568e-09,1.19e-07,1.52e-07
-0.004068,-1.4944e-05,0.99999,1,8.806e-09,8.806e-09,1.19e-07,1.52e-07
-0.0041874,-1.5013e-05,0.99999,1,9.044e-09,9.044e-09,1.19e-07,1.52e-07
-0.0043069,-1.5082e-05,0.99999,1,9.282e-09,9.282e-09,1.19e-07,1.52e-07
-0.0044263,-1.5151e-05,0.99999,1,9.52e-09,9.52e-09,1.19e-07,1.52e-07
-0.0045458,-1.522e-05,0.99999,1,9.758e-09,9.758e-09,1.19e-07,1.52e-07
-0.0046653,-1.5289e-05,0.99999,1,9.996e-09,9.996e-09,1.19e-07,1.52e-07
-0.0047909,-1.5374e-05,0.99999,1,1.0234e-08,1.0234e-08,1.19e-07,1.52e-07
-0.0049167,-1.546e-05,0.99999,1,1.0472e-08,1.0472e-08,1.19e-07,1.52e-07
-0.0050425,-1.5546e-05,0.99999,1,1.071e-08,1.071e-08,1.19e-07,1.52e-07
-0.0051683,-1.5632e-05,0.99999,1,1.0948e-08,1.0948e-08,1.19e-07,1.52e-07
-0.0052941,-1.5717e-05,0.99999,1,1.1186e-08,1.1186e-08,1.19e-07,1.52e-07
-0.0054198,-1.5803e-05,0.99999,1,1.1424e-08,1.1424e-08,1.19e-07,1.52e-07
-0.0055456,-1.5889e-05,0.99998,1,1.1662e-08,1.1662e-08,1.19e-07,1.52e-07
-0.0056714,-1.5975e-05,0.99998,1,1.19e-08,1.19e-08,1.19e-07,1.52e-07
-0.0058019,-1.6072e-05,0.99998,1,1.2138e-08,1.2138e-08,1.19e-07,1.52e-07
-0.0059358,-1.6176e-05,0.99998,1,1.2376e-08,1.2376e-08,1.19e-07,1.52e-07
-0.0060697,-1.6281e-05,0.99998,1,1.2614e-08,1.2614e-08,1.19e-07,1.52e-07
-0.0062036,-1.6386e-05,0.99998,1,1.2852e-08,1.2852e-08,1.19e-07,1.52e-07
-0.0063375,-1.649e-05,0.99998,1,1.309e-08,1.309e-08,1.19e-07,1.52e-07
-0.0064714,-1.6595e-05,0.99998,1,1.3328e-08,1.3328e-08,1.19e-07,1.52e-07
-0.0066052,-1.6699e-05,0.99998,1,1.3566e-08,1.3566e-08,1.19e-07,1.52e-07
-0.0067391,-1.6804e-05,0.99998,1,1.3804e-08,1.3804e-08,1.19e-07,1.52e-07
-0.0068748,-1.6913e-05,0.99998,1,1.4042e-08,1.4042e-08,1.19e-07,1.52e-07
-0.0070189,-1.7039e-05,0.99998,1,1.428e-08,1.428e-08,1.19e-07,1.52e-07
-0.007163,-1.7166e-05,0.99997,1,1.4518e-08,1.4518e-08,1.19e-07,1.52e-07
-0.0073071,-1.7292e-05,0.99997,1,1.4756e-08,1.4756e-08,1.19e-07,1.52e-07
-0.0074512,-1.7419e-05,0.99997,1,1.4994e-08,1.4994e-08,1.19e-07,1.52e-07
-0.0075953,-1.7546e-05,0.99997,1,1.5232e-08,1.5232e-08,1.19e-07,1.52e-07
-0.0077393,-1.7672e-05,0.99997,1,1.547e-08,1.547e-08,1.19e-07,1.52e-07
-0.0078834,-1.7799e-05,0.99997,1,1.5708e-08,1.5708e-08,1.19e-07,1.52e-07
-0.0080275,-1.7925e-05,0.99997,1,1.5946e-08,1.5946e-08,1.19e-07,1.52e-07
-0.0081814,-1.8072e-05,0.99997,1,1.6184e-08,1.6184e-08,1.19e-07,1.52e-07
-0.0083382,-1.8224e-05,0.99997,1,1.6422e-08,1.6422e-08,1.19e-07,1.52e-07
-0.008495,-1.8376e-05,0.99996,1,1.666e-08,1.666e-08,1.19e-07,1.52e-07
-0.0086518,-1.8528e-05,0.99996,1,1.6898e-08,1.6898e-08,1.19e-07,1.52e-07
-0.0088085,-1.8681e-05,0.99996,1,1.7136e-08,1.7136e-08,1.19e-07,1.52e-07
-0.0089653,-1.8833e-05,0.99996,1,1.7374e-08,1.7374e-08,1.19e-07,1.52e-07
-0.0091221,-1.8985e-05,0.99996,1,1.7612e-08,1.7612e-08,1.19e-07,1.52e-07
-0.0092789,-1.9137e-05,0.99996,1,1.785e-08,1.785e-08,1.19e-07,1.52e-07
-0.0094415,-1.9301e-05,0.99996,1,1.8088e-08,1.8088e-08,1.19e-07,1.52e-07
-0.009614,-1.9482e-05,0.99995,1,1.8326e-08,1.8326e-08,1.19e-07,1.52e-07
-0.0097865,-1.9664e-05,0.99995,1,1.8564e-08,1.8564e-08,1.19e-07,1.52e-07
-0.009959,-1.9846e-05,0.99995,1,1.8802e-08,1.8802e-08,1.19e-07,1.52e-07
-0.010131,-2.0028e-05,0.99995,1,1.904e-08,1.904e-08,1.19e-07,1.52e-07
-0.010304,-2.021e-05,0.99995,1,1.9278e-08,1.9278e-08,1.19e-07,1.52e-07
-0.010476,-2.0392e-05,0.99994,1,1.9516e-08,1.9516e-08,1.19e-07,1.52e-07
-0.010649,-2.0573e-05,0.99994,1,1.9754e-08,1.9754e-08,1.19e-07,1.52e-07
-0.010821,-2.0755e-05,0.99994,1,1.9992e-08,1.9992e-08,1.19e-07,1.52e-07
-0.011013,-2.0972e-05,0.99994,1,2.023e-08,2.023e-08,1.19e-07,1.52e-07
-0.011205,-2.119e-05,0.99994,1,2.0468e-08,2.0468e-08,1.19e-07,1.52e-07
-0.011397,-2.1408e-05,0.99993,1,2.0706e-08,2.0706e-08,1.19e-07,1.52e-07
-0.011588,-2.1626e-05,0.99993,1,2.0944e-08,2.0944e-08,1.19e-07,1.52e-07
-0.01178,-2.1843e-05,0.99993,1,2.1182e-08,2.1182e-08,1.19e-07,1.52e-07
-0.011972,-2.2061e-05,0.99993,1,2.142e-08,2.142e-08,1.19e-07,1.52e-07
-0.012164,-2.2279e-05,0.99993,1,2.1658e-08,2.1658e-08,1.19e-07,1.52e-07
-0.012356,-2.2497e-05,0.99992,1,2.1896e-08,2.1896e-08,1.19e-07,1.52e-07
-0.012561,-2.2739e-05,0.99992,1,2.2134e-08,2.2134e-08,1.19e-07,1.52e-07
-0.012777,-2.3e-05,0.99992,1,2.2372e-08,2.2372e-08,1.19e-07,1.52e-07
-0.012993,-2.3261e-05,0.99992,1,2.261e-08,2.261e-08,1.19e-07,1.52e-07
-0.013209,-2.3521e-05,0.99991,1,2.2848e-08,2.2848e-08,1.19e-07,1.52e-07
-0.013425,-2.3782e-05,0.99991,1,2.3086e-08,2.3086e-08,1.19e-07,1.52e-07
-0.013641,-2.4043e-05,0.99991,1,2.3324e-08,2.3324e-08,1.19e-07,1.52e-07
-0.013857,-2.4304e-05,0.9999,1,2.3562e-08,2.3562e-08,1.19e-07,1.52e-07
-0.014073,-2.4564e-05,0.9999,1,2.38e-08,2.38e-08,1.19e-07,1.52e-07
-0.014293,-2.4833e-05,0.9999,1,2.4038e-08,2.4038e-08,1.19e-07,1.52e-07
-0.014539,-2.5146e-05,0.99989,1,2.4276e-08,2.4276e-08,1.19e-07,1.52e-07
-0.014784,-2.5458e-05,0.99989,1,2.4514e-08,2.4514e-08,1.19e-07,1.52e-07
-0.01503,-2.5771e-05,0.99989,1,2.4752e-08,2.4752e-08,1.19e-07,1.52e-07
-0.015275,-2.6083e-05,0.99988,1,2.499e-08,2.499e-08,1.19e-07,1.52e-07
-0.015521,-2.6395e-05,0.99988,1,2.5228e-08,2.5228e-08,1.19e-07,1.52e-07
-0.015766,-2.6708e-05,0.99988,1,2.5466e-08,2.5466e-08,1.19e-07,1.52e-07
-0.016012,-2.702e-05,0.99987,1,2.5704e-08,2.5704e-08,1.19e-07,1.52e-07
-0.016257,-2.7333e-05,0.99987,1,2.5942e-08,2.5942e-08,1.19e-07,1.52e-07
-0.016531,-2.7693e-05,0.99986,1,2.618e-08,2.618e-08,1.19e-07,1.52e-07
-0.016813,-2.8069e-05,0.99986,1,2.6418e-08,2.6418e-08,1.19e-07,1.52e-07
-0.017095,-2.8445e-05,0.99985,1,2.6656e-08,2.6656e-08,1.19e-07,1.52e-07
-0.017377,-2.8821e-05,0.99985,1,2.6894e-08,2.6894e-08,1.19e-07,1.52e-07
-0.01766,-2.9197e-05,0.99984,1,2.7132e-08,2.7132e-08,1.19e-07,1.52e-07
-0.017942,-2.9573e-05,0.99984,1,2.737e-08,2.737e-08,1.19e-07,1.52e-07
-0.018224,-2.9949e-05,0.99983,1,2.7608e-08,2.7608e-08,1.19e-07,1.52e-07
-0.018506,-3.0325e-05,0.99983,1,2.7846e-08,2.7846e-08,1.19e-07,1.52e-07
-0.018804,-3.0729e-05,0.99982,1,2.8084e-08,2.8084e-08,1.19e-07,1.52e-07
-0.019132,-3.1184e-05,0.99982,1,2.8322e-08,2.8322e-08,1.19e-07,1.52e-07
-0.01946,-3.1638e-05,0.99981,1,2.856e-08,2.856e-08,1.19e-07,1.52e-07
-0.019788,-3.2093e-05,0.9998,1,2.8798e-08,2.8798e-08,1.19e-07,1.52e-07
-0.020116,-3.2548e-05,0.9998,1,2.9036e-08,2.9036e-08,1.19e-07,1.52e-07
-0.020443,-3.3002e-05,0.99979,1,2.9274e-08,2.9274e-08,1.19e-07,1.52e-07
-0.020771,-3.3457e-05,0.99978,1,2.9512e-08,2.9512e-08,1.19e-07,1.52e-07
-0.021099,-3.3912e-05,0.99978,1,2.975e-08,2.975e-08,1.19e-07,1.52e-07
-0.021427,-3.4366e-05,0.99977,1,2.9988e-08,2.9988e-08,1.19e-07,1.52e-07
-0.021808,-3.4913e-05,0.99976,1,3.0226e-08,3.0226e-08,1.19e-07,1.52e-07
-0.022193,-3.5465e-05,0.99975,1,3.0464e-08,3.0464e-08,1.19e-07,1.52e-07
-0.022578,-3.6017e-05,0.99974,1,3.0702e-08,3.0702e-08,1.19e-07,1.52e-07
-0.022962,-3.6569e-05,0.99974,1,3.094e-08,3.094e-08,1.19e-07,1.52e-07
-0.023347,-3.7121e-05,0.99973,1,3.1178e-08,3.1178e-08,1.19e-07,1.52e-07
-0.023731,-3.7673e-05,0.99972,1,3.1416e-08,3.1416e-08,1.19e-07,1.52e-07
-0.024116,-3.8225e-05,0.99971,1,3.1654e-08,3.1654e-08,1.19e-07,1.52e-07
-0.0245,-3.8777e-05,0.9997,1,3.1892e-08,3.1892e-08,1.19e-07,1.52e-07
-0.024923,-3.9395e-05,0.99969,1,3.213e-08,3.213e-08,1.19e-07,1.52e-07
-0.025379,-4.0069e-05,0.99968,1,3.2368e-08,3.2368e-08,1.19e-07,1.52e-07
-0.025834,-4.0743e-05,0.99966,1,3.2606e-08,3.2606e-08,1.19e-07,1.52e-07
-0.02629,-4.1416e-05,0.99965,1,3.2844e-08,3.2844e-08,1.19e-07,1.52e-07
-0.026745,-4.209e-05,0.99964,1,3.3082e-08,3.3082e-08,1.19e-07,1.52e-07
-0.0272,-4.2764e-05,0.99963,1,3.332e-08,3.332e-08,1.19e-07,1.52e-07
-0.027656,-4.3437e-05,0.99962,1,3.3558e-08,3.3558e-08,1.19e-07,1.52e-07
-0.028111,-4.4111e-05,0.9996,1,3.3796e-08,3.3796e-08,1.19e-07,1.52e-07
-0.028579,-4.4807e-05,0.99959,1,3.4034e-08,3.4034e-08,1.19e-07,1.52e-07
-0.029124,-4.5635e-05,0.99957,1,3.4272e-08,3.4272e-08,1.19e-07,1.52e-07
-0.029668,-4.6463e-05,0.99956,1,3.451e-08,3.451e-08,1.19e-07,1.52e-07
-0.030212,-4.7291e-05,0.99954,1,3.4748e-08,3.4748e-08,1.19e-07,1.52e-07
-0.030756,-4.8119e-05,0.99952,1,3.4986e-08,3.4986e-08,1.19e-07,1.52e-07
