"m:0","m:1","m:2","Points:0","Points:1","Points:2"
1.7163e-05,-4.7324e-05,1,0,0,1.52e-07
-9.5317e-05,-4.7345e-05,1,2e-09,0,1.52e-07
-0.00020773,-4.7558e-05,1,4e-09,0,1.52e-07
-0.00031994,-4.796e-05,1,6e-09,0,1.52e-07
-0.00043184,-4.8557e-05,1,8e-09,0,1.52e-07
-0.00054328,-4.9348e-05,1,1e-08,0,1.52e-07
-0.00065413,-5.0336e-05,1,1.2e-08,0,1.52e-07
-0.00076424,-5.1517e-05,1,1.4e-08,0,1.52e-07
-0.00087348,-5.2902e-05,1,1.6e-08,0,1.52e-07
-0.00098169,-5.4485e-05,1,1.8e-08,0,1.52e-07
-0.0010887,-5.6276e-05,1,2e-08,0,1.52e-07
-0.0011944,-5.8276e-05,1,2.2e-08,0,1.52e-07
-0.0012985,-6.049e-05,1,2.4e-08,0,1.52e-07
-0.001401,-6.2918e-05,1,2.6e-08,0,1.52e-07
-0.0015015,-6.5567e-05,1,2.8e-08,0,1.52e-07
-0.0015999,-6.844e-05,1,3e-08,0,1.52e-07
-0.001696,-7.1541e-05,1,3.2e-08,0,1.52e-07
-0.0017895,-7.4876e-05,1,3.4e-08,0,1.52e-07
-0.0018802,-7.8442e-05,1,3.6e-08,0,1.52e-07
-0.0019678,-8.2251e-05,1,3.8e-08,0,1.52e-07
-0.0020522,-8.6302e-05,1,4e-08,0,1.52e-07
-0.002133,-9.0597e-05,1,4.2e-08,0,1.52e-07
-0.0022099,-9.5139e-05,1,4.4e-08,0,1.52e-07
-0.0022826,-9.9931e-05,1,4.6e-08,0,1.52e-07
-0.0023509,-0.00010498,1,4.8e-08,0,1.52e-07
-0.0024144,-0.00011027,1,5e-08,0,1.52e-07
-0.0024728,-0.00011581,1,5.2e-08,0,1.52e-07
-0.0025258,-0.0001216,1,5.4e-08,0,1.52e-07
-0.0025731,-0.00012764,1,5.6e-08,0,1.52e-07
-0.0026143,-0.00013392,1,5.8e-08,0,1.52e-07
-0.0026491,-0.00014043,1,6e-08,0,1.52e-07
-0.0026772,-0.00014717,1,6.2e-08,0,1.52e-07
-0.0026983,-0.00015412,1,6.4e-08,0,1.52e-07
-0.002712,-0.00016127,1,6.6e-08,0,1.52e-07
-0.0027181,-0.0001686,1,6.8e-08,0,1.52e-07
-0.0027163,-0.00017611,1,7e-08,0,1.52e-07
-0.0027064,-0.00018377,1,7.2e-08,0,1.52e-07
-0.0026881,-0.00019156,1,7.4e-08,0,1.52e-07
-0.0026614,-0.00019944,1,7.6e-08,0,1.52e-07
-0.0026259,-0.00020741,1,7.8e-08,0,1.52e-07
-0.0025817,-0.00021542,1,8e-08,0,1.52e-07
-0.0025285,-0.00022344,1,8.2e-08,0,1.52e-07
-0.0024665,-0.00023144,1,8.4e-08,0,1.52e-07
-0.0023955,-0.00023937,1,8.6e-08,0,1.52e-07
-0.0023157,-0.00024721,1,8.8e-08,0,1.52e-07
-0.002227,-0.0002549,1,9e-08,0,1.52e-07
-0.0021296,-0.00026241,1,9.2e-08,0,1.52e-07
-0.0020238,-0.00026967,1,9.4e-08,0,1.52e-07
-0.0019096,-0.00027666,1,9.6e-08,0,1.52e-07
-0.0017875,-0.00028333,1,9.8e-08,0,1.52e-07
-0.0016577,-0.00028963,1,1e-07,0,1.52e-07
-0.0015208,-0.00029551,1,1.02e-07,0,1.52e-07
-0.0013772,-0.00030093,1,1.04e-07,0,1.52e-07
-0.0012274,-0.00030586,1,1.06e-07,0,1.52e-07
-0.0010721,-0.00031024,1,1.08e-07,0,1.52e-07
-0.00091192,-0.00031406,1,1.1e-07,0,1.52e-07
-0.00074752,-0.00031727,1,1.12e-07,0,1.52e-07
-0.00057967,-0.00031985,1,1.14e-07,0,1.52e-07
-0.00040916,-0.00032179,1,1.16e-07,0,1.52e-07
-0.00023677,-0.00032305,1,1.18e-07,0,1.52e-07
-6.3342e-05,-0.00032363,1,1.2e-07,0,1.52e-07
0.0001103,-0.00032353,1,1.22e-07,0,1.52e-07
0.00028332,-0.00032275,1,1.24e-07,0,1.52e-07
