"m:0","m:1","m:2","Points:0","Points:1","Points:2"
-3.6906e-06,-9.019e-05,1,0,0,1.52e-07
-0.00016759,-9.038e-05,1,2e-09,0,1.52e-07
-0.00033138,-9.0938e-05,1,4e-09,0,1.52e-07
-0.00049485,-9.1863e-05,1,6e-09,0,1.52e-07
-0.00065783,-9.3162e-05,1,8e-09,0,1.52e-07
-0.0008201,-9.4833e-05,1,1e-08,0,1.52e-07
-0.00098145,-9.6889e-05,1,1.2e-08,0,1.52e-07
-0.0011417,-9.9325e-05,1,1.4e-08,0,1.52e-07
-0.0013006,-0.00010215,1,1.6e-08,0,1.52e-07
-0.0014579,-0.00010537,1,1.8e-08,0,1.52e-07
-0.0016134,-0.00010899,1,2e-08,0,1.52e-07
-0.0017668,-0.00011302,1,2.2e-08,0,1.52e-07
-0.0019179,-0.00011746,1,2.4e-08,0,1.52e-07
-0.0020664,-0.00012233,1,2.6e-08,0,1.52e-07
-0.0022121,-0.00012763,1,2.8e-08,0,1.52e-07
-0.0023545,-0.00013337,1,3e-08,0,1.52e-07
-0.0024934,-0.00013956,1,3.2e-08,0,1.52e-07
-0.0026285,-0.0001462,1,3.4e-08,0,1.52e-07
-0.0027593,-0.00015331,1,3.6e-08,0,1.52e-07
-0.0028856,-0.00016089,1,3.8e-08,0,1.52e-07
-0.003007,-0.00016895,1,4e-08,0,1.52e-07
-0.003123,-0.0001775,1,4.2e-08,0,1.52e-07
-0.0032333,-0.00018654,0.99999,4.4e-08,0,1.52e-07
-0.0033375,-0.00019609,0.99999,4.6e-08,0,1.52e-07
-0.003435,-0.00020613,0.99999,4.8e-08,0,1.52e-07
-0.0035255,-0.00021667,0.99999,5e-08,0,1.52e-07
-0.0036085,-0.00022772,0.99999,5.2e-08,0,1.52e-07
-0.0036836,-0.00023927,0.99999,5.4e-08,0,1.52e-07
-0.0037502,-0.00025131,0.99999,5.6e-08,0,1.52e-07
-0.003808,-0.00026384,0.99999,5.8e-08,0,1.52e-07
-0.0038565,-0.00027684,0.99999,6e-08,0,1.52e-07
-0.0038952,-0.0002903,0.99999,6.2e-08,0,1.52e-07
-0.0039237,-0.00030421,0.99999,6.4e-08,0,1.52e-07
-0.0039416,-0.00031853,0.99999,6.6e-08,0,1.52e-07
-0.0039485,-0.00033323,0.99999,6.8e-08,0,1.52e-07
-0.003944,-0.00034829,0.99999,7e-08,0,1.52e-07
-0.0039278,-0.00036366,0.99999,7.2e-08,0,1.52e-07
-0.0038997,-0.00037931,0.99999,7.4e-08,0,1.52e-07
-0.0038592,-0.00039517,0.99999,7.6e-08,0,1.52e-07
-0.0038063,-0.00041119,0.99999,7.8e-08,0,1.52e-07
-0.0037407,-0.00042731,0.99999,8e-08,0,1.52e-07
-0.0036622,-0.00044347,0.99999,8.2e-08,0,1.52e-07
-0.0035708,-0.00045959,0.99999,8.4e-08,0,1.52e-07
-0.0034663,-0.00047558,0.99999,8.6e-08,0,1.52e-07
-0.0033489,-0.00049137,0.99999,8.8e-08,0,1.52e-07
-0.0032187,-0.00050686,0.99999,9e-08,0,1.52e-07
-0.0030758,-0.00052196,1,9.2e-08,0,1.52e-07
-0.0029205,-0.00053658,1,9.4e-08,0,1.52e-07
-0.0027532,-0.00055062,1,9.6e-08,0,1.52e-07
-0.0025743,-0.00056398,1,9.8e-08,0,1.52e-07
-0.0023844,-0.00057656,1,1e-07,0,1.52e-07
-0.0021842,-0.00058828,1,1.02e-07,0,1.52e-07
-0.0019744,-0.00059904,1,1.04e-07,0,1.52e-07
-0.0017557,-0.00060874,1,1.06e-07,0,1.52e-07
-0.0015291,-0.00061733,1,1.08e-07,0,1.52e-07
-0.0012956,-0.0006247,1,1.1e-07,0,1.52e-07
-0.0010562,-0.00063082,1,1.12e-07,0,1.52e-07
-0.00081197,-0.00063561,1,1.14e-07,0,1.52e-07
-0.00056405,-0.00063905,1,1.16e-07,0,1.52e-07
-0.00031364,-0.0006411,1,1.18e-07,0,1.52e-07
-6.191e-05,-0.00064173,1,1.2e-07,0,1.52e-07
0.00018991,-0.00064095,1,1.22e-07,0,1.52e-07
0.00044062,-0.00063876,1,1.24e-07,0,1.52e-07
0.00068902,-0.00063519,1,1.26e-07,0,1.52e-07
0.00093393,-0.00063025,1,1.28e-07,0,1.52e-07
0.0011742,-0.00062401,1,1.3e-07,0,1.52e-07
0.0014088,-0.0006165,1,1.32e-07,0,1.52e-07
