"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.5813e-11,-3.0495e-05,-0.00027864,1,3.08e-09,1.275e-07,1.0308e-07,1.96e-07
-4.6112e-11,-3.0469e-05,-0.00027856,1,3.135e-09,1.275e-07,1.0313e-07,1.96e-07
-4.6411e-11,-3.0442e-05,-0.00027847,1,3.19e-09,1.275e-07,1.0319e-07,1.96e-07
-4.6709e-11,-3.0416e-05,-0.00027838,1,3.245e-09,1.275e-07,1.0324e-07,1.96e-07
-4.7008e-11,-3.039e-05,-0.00027829,1,3.3e-09,1.275e-07,1.033e-07,1.96e-07
-4.7307e-11,-3.0364e-05,-0.0002782,1,3.355e-09,1.275e-07,1.0335e-07,1.96e-07
-4.7606e-11,-3.0338e-05,-0.00027811,1,3.41e-09,1.275e-07,1.0341e-07,1.96e-07
-4.7905e-11,-3.0312e-05,-0.00027802,1,3.465e-09,1.275e-07,1.0346e-07,1.96e-07
-4.8204e-11,-3.0286e-05,-0.00027793,1,3.52e-09,1.275e-07,1.0352e-07,1.96e-07
-4.8503e-11,-3.0259e-05,-0.00027784,1,3.575e-09,1.275e-07,1.0357e-07,1.96e-07
-4.8801e-11,-3.0233e-05,-0.00027775,1,3.63e-09,1.275e-07,1.0363e-07,1.96e-07
-4.91e-11,-3.0207e-05,-0.00027766,1,3.685e-09,1.275e-07,1.0368e-07,1.96e-07
-4.9399e-11,-3.0181e-05,-0.00027757,1,3.74e-09,1.275e-07,1.0374e-07,1.96e-07
-4.9698e-11,-3.0155e-05,-0.00027748,1,3.795e-09,1.275e-07,1.0379e-07,1.96e-07
-4.9997e-11,-3.0129e-05,-0.00027739,1,3.85e-09,1.275e-07,1.0385e-07,1.96e-07
-5.0296e-11,-3.0103e-05,-0.0002773,1,3.905e-09,1.275e-07,1.039e-07,1.96e-07
-5.0595e-11,-3.0076e-05,-0.00027721,1,3.96e-09,1.275e-07,1.0396e-07,1.96e-07
-5.0897e-11,-3.0049e-05,-0.00027712,1,4.015e-09,1.275e-07,1.0401e-07,1.96e-07
-5.1208e-11,-3.0019e-05,-0.00027703,1,4.07e-09,1.275e-07,1.0407e-07,1.96e-07
-5.1519e-11,-2.9989e-05,-0.00027694,1,4.125e-09,1.275e-07,1.0412e-07,1.96e-07
-5.1831e-11,-2.9959e-05,-0.00027685,1,4.18e-09,1.275e-07,1.0418e-07,1.96e-07
-5.2142e-11,-2.9929e-05,-0.00027676,1,4.235e-09,1.275e-07,1.0423e-07,1.96e-07
-5.2453e-11,-2.9899e-05,-0.00027668,1,4.29e-09,1.275e-07,1.0429e-07,1.96e-07
-5.2765e-11,-2.9869e-05,-0.00027659,1,4.345e-09,1.275e-07,1.0434e-07,1.96e-07
-5.3076e-11,-2.9839e-05,-0.0002765,1,4.4e-09,1.275e-07,1.044e-07,1.96e-07
-5.3387e-11,-2.9809e-05,-0.00027641,1,4.455e-09,1.275e-07,1.0445e-07,1.96e-07
-5.3698e-11,-2.9778e-05,-0.00027632,1,4.51e-09,1.275e-07,1.0451e-07,1.96e-07
-5.401e-11,-2.9748e-05,-0.00027623,1,4.565e-09,1.275e-07,1.0456e-07,1.96e-07
-5.4321e-11,-2.9718e-05,-0.00027614,1,4.62e-09,1.275e-07,1.0462e-07,1.96e-07
-5.4632e-11,-2.9688e-05,-0.00027605,1,4.675e-09,1.275e-07,1.0467e-07,1.96e-07
