"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.4903e-11,2.5201e-06,-0.00032826,1,1.479e-08,1.275e-07,1.479e-08,6.4e-08
-5.4025e-11,2.564e-06,-0.00032825,1,1.5045e-08,1.275e-07,1.5045e-08,6.4e-08
-5.2571e-11,2.6081e-06,-0.00032824,1,1.53e-08,1.275e-07,1.53e-08,6.4e-08
-5.1118e-11,2.6523e-06,-0.00032823,1,1.5555e-08,1.275e-07,1.5555e-08,6.4e-08
-4.9665e-11,2.6965e-06,-0.00032822,1,1.581e-08,1.275e-07,1.581e-08,6.4e-08
-4.8195e-11,2.7408e-06,-0.00032821,1,1.6065e-08,1.275e-07,1.6065e-08,6.4e-08
-4.6674e-11,2.7854e-06,-0.0003282,1,1.632e-08,1.275e-07,1.632e-08,6.4e-08
-4.5153e-11,2.83e-06,-0.00032819,1,1.6575e-08,1.275e-07,1.6575e-08,6.4e-08
-4.3632e-11,2.8747e-06,-0.00032818,1,1.683e-08,1.275e-07,1.683e-08,6.4e-08
-4.2089e-11,2.9194e-06,-0.00032817,1,1.7085e-08,1.275e-07,1.7085e-08,6.4e-08
-4.0503e-11,2.9644e-06,-0.00032816,1,1.734e-08,1.275e-07,1.734e-08,6.4e-08
-3.8916e-11,3.0094e-06,-0.00032815,1,1.7595e-08,1.275e-07,1.7595e-08,6.4e-08
-3.733e-11,3.0545e-06,-0.00032814,1,1.785e-08,1.275e-07,1.785e-08,6.4e-08
-3.5707e-11,3.0997e-06,-0.00032813,1,1.8105e-08,1.275e-07,1.8105e-08,6.4e-08
-3.4032e-11,3.1452e-06,-0.00032812,1,1.836e-08,1.275e-07,1.836e-08,6.4e-08
-3.2358e-11,3.1906e-06,-0.00032811,1,1.8615e-08,1.275e-07,1.8615e-08,6.4e-08
-3.0683e-11,3.2361e-06,-0.0003281,1,1.887e-08,1.275e-07,1.887e-08,6.4e-08
-2.9038e-11,3.2818e-06,-0.00032809,1,1.9125e-08,1.275e-07,1.9125e-08,6.4e-08
-2.7424e-11,3.3277e-06,-0.00032808,1,1.938e-08,1.275e-07,1.938e-08,6.4e-08
-2.5809e-11,3.3737e-06,-0.00032807,1,1.9635e-08,1.275e-07,1.9635e-08,6.4e-08
-2.4195e-11,3.4196e-06,-0.00032806,1,1.989e-08,1.275e-07,1.989e-08,6.4e-08
-2.2765e-11,3.4659e-06,-0.00032804,1,2.0145e-08,1.275e-07,2.0145e-08,6.4e-08
-2.1475e-11,3.5123e-06,-0.00032803,1,2.04e-08,1.275e-07,2.04e-08,6.4e-08
-2.0185e-11,3.5587e-06,-0.00032802,1,2.0655e-08,1.275e-07,2.0655e-08,6.4e-08
-1.8896e-11,3.6052e-06,-0.00032801,1,2.091e-08,1.275e-07,2.091e-08,6.4e-08
-1.7789e-11,3.652e-06,-0.000328,1,2.1165e-08,1.275e-07,2.1165e-08,6.4e-08
-1.6783e-11,3.6989e-06,-0.00032798,1,2.142e-08,1.275e-07,2.142e-08,6.4e-08
-1.5776e-11,3.7459e-06,-0.00032797,1,2.1675e-08,1.275e-07,2.1675e-08,6.4e-08
-1.477e-11,3.7928e-06,-0.00032796,1,2.193e-08,1.275e-07,2.193e-08,6.4e-08
-1.3917e-11,3.8402e-06,-0.00032794,1,2.2185e-08,1.275e-07,2.2185e-08,6.4e-08
-1.3123e-11,3.8877e-06,-0.00032793,1,2.244e-08,1.275e-07,2.244e-08,6.4e-08
-1.2329e-11,3.9352e-06,-0.00032792,1,2.2695e-08,1.275e-07,2.2695e-08,6.4e-08
-1.1534e-11,3.9827e-06,-0.0003279,1,2.295e-08,1.275e-07,2.295e-08,6.4e-08
-1.0668e-11,4.0306e-06,-0.00032789,1,2.3205e-08,1.275e-07,2.3205e-08,6.4e-08
-9.7851e-12,4.0787e-06,-0.00032787,1,2.346e-08,1.275e-07,2.346e-08,6.4e-08
-8.9019e-12,4.1267e-06,-0.00032786,1,2.3715e-08,1.275e-07,2.3715e-08,6.4e-08
-8.0187e-12,4.1748e-06,-0.00032784,1,2.397e-08,1.275e-07,2.397e-08,6.4e-08
-7.0071e-12,4.2233e-06,-0.00032783,1,2.4225e-08,1.275e-07,2.4225e-08,6.4e-08
-5.9784e-12,4.272e-06,-0.00032781,1,2.448e-08,1.275e-07,2.448e-08,6.4e-08
-4.9497e-12,4.3206e-06,-0.0003278,1,2.4735e-08,1.275e-07,2.4735e-08,6.4e-08
-3.921e-12,4.3692e-06,-0.00032778,1,2.499e-08,1.275e-07,2.499e-08,6.4e-08
-3.1401e-12,4.4185e-06,-0.00032776,1,2.5245e-08,1.275e-07,2.5245e-08,6.4e-08
-2.3693e-12,4.4677e-06,-0.00032775,1,2.55e-08,1.275e-07,2.55e-08,6.4e-08
-1.5985e-12,4.5169e-06,-0.00032773,1,2.5755e-08,1.275e-07,2.5755e-08,6.4e-08
-8.2376e-13,4.5662e-06,-0.00032771,1,2.601e-08,1.275e-07,2.601e-08,6.4e-08
4.633e-14,4.6161e-06,-0.0003277,1,2.6265e-08,1.275e-07,2.6265e-08,6.4e-08
9.1641e-13,4.6659e-06,-0.00032768,1,2.652e-08,1.275e-07,2.652e-08,6.4e-08
1.7865e-12,4.7158e-06,-0.00032766,1,2.6775e-08,1.275e-07,2.6775e-08,6.4e-08
2.6574e-12,4.7657e-06,-0.00032764,1,2.703e-08,1.275e-07,2.703e-08,6.4e-08
3.5343e-12,4.8162e-06,-0.00032763,1,2.7285e-08,1.275e-07,2.7285e-08,6.4e-08
4.4113e-12,4.8667e-06,-0.00032761,1,2.754e-08,1.275e-07,2.754e-08,6.4e-08
5.2882e-12,4.9173e-06,-0.00032759,1,2.7795e-08,1.275e-07,2.7795e-08,6.4e-08
6.0872e-12,4.9679e-06,-0.00032757,1,2.805e-08,1.275e-07,2.805e-08,6.4e-08
6.5667e-12,5.0191e-06,-0.00032755,1,2.8305e-08,1.275e-07,2.8305e-08,6.4e-08
7.0463e-12,5.0702e-06,-0.00032753,1,2.856e-08,1.275e-07,2.856e-08,6.4e-08
7.5258e-12,5.1214e-06,-0.00032751,1,2.8815e-08,1.275e-07,2.8815e-08,6.4e-08
7.901e-12,5.1728e-06,-0.00032749,1,2.907e-08,1.275e-07,2.907e-08,6.4e-08
8.0005e-12,5.2246e-06,-0.00032747,1,2.9325e-08,1.275e-07,2.9325e-08,6.4e-08
8.1001e-12,5.2765e-06,-0.00032745,1,2.958e-08,1.275e-07,2.958e-08,6.4e-08
8.1996e-12,5.3283e-06,-0.00032743,1,2.9835e-08,1.275e-07,2.9835e-08,6.4e-08
8.2438e-12,5.3804e-06,-0.00032741,1,3.009e-08,1.275e-07,3.009e-08,6.4e-08
8.1864e-12,5.433e-06,-0.00032739,1,3.0345e-08,1.275e-07,3.0345e-08,6.4e-08
8.129e-12,5.4855e-06,-0.00032737,1,3.06e-08,1.275e-07,3.06e-08,6.4e-08
8.0717e-12,5.5381e-06,-0.00032735,1,3.0855e-08,1.275e-07,3.0855e-08,6.4e-08
8.1111e-12,5.5909e-06,-0.00032732,1,3.111e-08,1.275e-07,3.111e-08,6.4e-08
