"m_zrange130_:0","m_zrange130_:1","m_zrange130_:2","Points:0","Points:1","Points:2"
-0.00041035,0.00041034,1,0,0,0
-0.00041085,0.0012308,1,1e-09,0,0
-0.00041185,0.0020506,1,2e-09,0,0
-0.00041334,0.0028692,1,3e-09,0,0
-0.00041534,0.0036863,0.99999,4e-09,0,0
-0.00041784,0.0045013,0.99999,5e-09,0,0
-0.00042084,0.0053139,0.99999,6e-09,0,0
-0.00042434,0.0061234,0.99998,7e-09,0,0
-0.00042834,0.0069295,0.99998,8e-09,0,0
-0.00043285,0.0077318,0.99997,9e-09,0,0
-0.00043787,0.0085296,0.99996,1e-08,0,0
-0.00044339,0.0093226,0.99996,1.1e-08,0,0
-0.00044942,0.01011,0.99995,1.2e-08,0,0
-0.00045597,0.010892,0.99994,1.3e-08,0,0
-0.00046302,0.011668,0.99993,1.4e-08,0,0
-0.00047059,0.012436,0.99992,1.5e-08,0,0
-0.00047868,0.013198,0.99991,1.6e-08,0,0
-0.00048728,0.013951,0.9999,1.7e-08,0,0
-0.0004964,0.014696,0.99989,1.8e-08,0,0
-0.00050605,0.015432,0.99988,1.9e-08,0,0
-0.00051622,0.016159,0.99987,2e-08,0,0
-0.00052691,0.016875,0.99986,2.1e-08,0,0
-0.00053813,0.017581,0.99985,2.2e-08,0,0
-0.00054987,0.018276,0.99983,2.3e-08,0,0
-0.00056215,0.018959,0.99982,2.4e-08,0,0
-0.00057495,0.01963,0.99981,2.5e-08,0,0
-0.00058828,0.020288,0.99979,2.6e-08,0,0
-0.00060215,0.020932,0.99978,2.7e-08,0,0
-0.00061654,0.021562,0.99977,2.8e-08,0,0
-0.00063146,0.022178,0.99975,2.9e-08,0,0
-0.00064692,0.022778,0.99974,3e-08,0,0
-0.0006629,0.023362,0.99973,3.1e-08,0,0
-0.0006794,0.023929,0.99971,3.2e-08,0,0
-0.00069643,0.024479,0.9997,3.3e-08,0,0
-0.00071399,0.025011,0.99969,3.4e-08,0,0
-0.00073206,0.025524,0.99967,3.5e-08,0,0
-0.00075064,0.026019,0.99966,3.6e-08,0,0
-0.00076974,0.026493,0.99965,3.7e-08,0,0
-0.00078933,0.026946,0.99964,3.8e-08,0,0
-0.00080943,0.027379,0.99962,3.9e-08,0,0
-0.00083001,0.027789,0.99961,4e-08,0,0
-0.00085108,0.028177,0.9996,4.1e-08,0,0
-0.00087262,0.028541,0.99959,4.2e-08,0,0
-0.00089462,0.028881,0.99958,4.3e-08,0,0
-0.00091708,0.029197,0.99957,4.4e-08,0,0
-0.00093998,0.029488,0.99956,4.5e-08,0,0
-0.0009633,0.029752,0.99956,4.6e-08,0,0
-0.00098704,0.02999,0.99955,4.7e-08,0,0
-0.0010112,0.030201,0.99954,4.8e-08,0,0
-0.0010357,0.030384,0.99954,4.9e-08,0,0
-0.0010606,0.030539,0.99953,5e-08,0,0
-0.0010858,0.030665,0.99953,5.1e-08,0,0
-0.0011113,0.030762,0.99953,5.2e-08,0,0
-0.0011372,0.030828,0.99952,5.3e-08,0,0
-0.0011633,0.030864,0.99952,5.4e-08,0,0
-0.0011897,0.030869,0.99952,5.5e-08,0,0
-0.0012163,0.030842,0.99952,5.6e-08,0,0
-0.0012431,0.030784,0.99953,5.7e-08,0,0
-0.0012701,0.030693,0.99953,5.8e-08,0,0
-0.0012972,0.03057,0.99953,5.9e-08,0,0
-0.0013245,0.030414,0.99954,6e-08,0,0
-0.0013518,0.030225,0.99954,6.1e-08,0,0
-0.0013792,0.030002,0.99955,6.2e-08,0,0
-0.0014065,0.029746,0.99956,6.3e-08,0,0
-0.0014339,0.029456,0.99957,6.4e-08,0,0
-0.0014612,0.029132,0.99957,6.5e-08,0,0
-0.0014884,0.028774,0.99958,6.6e-08,0,0
-0.0015154,0.028382,0.9996,6.7e-08,0,0
-0.0015423,0.027957,0.99961,6.8e-08,0,0
-0.001569,0.027497,0.99962,6.9e-08,0,0
-0.0015954,0.027005,0.99963,7e-08,0,0
-0.0016215,0.026479,0.99965,7.1e-08,0,0
-0.0016472,0.025919,0.99966,7.2e-08,0,0
-0.0016726,0.025328,0.99968,7.3e-08,0,0
-0.0016975,0.024704,0.99969,7.4e-08,0,0
-0.0017219,0.024048,0.99971,7.5e-08,0,0
-0.0017459,0.023361,0.99973,7.6e-08,0,0
-0.0017692,0.022644,0.99974,7.7e-08,0,0
-0.001792,0.021897,0.99976,7.8e-08,0,0
-0.0018141,0.02112,0.99978,7.9e-08,0,0
-0.0018355,0.020315,0.99979,8e-08,0,0
-0.0018561,0.019483,0.99981,8.1e-08,0,0
-0.001876,0.018624,0.99982,8.2e-08,0,0
-0.0018951,0.017739,0.99984,8.3e-08,0,0
-0.0019133,0.01683,0.99986,8.4e-08,0,0
-0.0019306,0.015897,0.99987,8.5e-08,0,0
-0.001947,0.014943,0.99989,8.6e-08,0,0
-0.0019624,0.013967,0.9999,8.7e-08,0,0
-0.0019768,0.012971,0.99991,8.8e-08,0,0
-0.0019902,0.011957,0.99993,8.9e-08,0,0
-0.0020026,0.010926,0.99994,9e-08,0,0
-0.0020138,0.0098789,0.99995,9.1e-08,0,0
-0.0020239,0.0088177,0.99996,9.2e-08,0,0
-0.0020329,0.0077438,0.99997,9.3e-08,0,0
-0.0020407,0.0066586,0.99998,9.4e-08,0,0
-0.0020474,0.0055638,0.99998,9.5e-08,0,0
-0.0020529,0.0044608,0.99999,9.6e-08,0,0
-0.0020571,0.0033513,0.99999,9.7e-08,0,0
-0.0020602,0.0022369,1,9.8e-08,0,0
-0.002062,0.0011193,1,9.9e-08,0,0
-0.0020626,1.8002e-09,1,1e-07,0,0
-0.002062,-0.0011193,1,1.01e-07,0,0
-0.0020602,-0.0022369,1,1.02e-07,0,0
-0.0020571,-0.0033513,0.99999,1.03e-07,0,0
-0.0020529,-0.0044608,0.99999,1.04e-07,0,0
-0.0020474,-0.0055638,0.99998,1.05e-07,0,0
-0.0020407,-0.0066586,0.99998,1.06e-07,0,0
-0.0020329,-0.0077438,0.99997,1.07e-07,0,0
-0.0020239,-0.0088177,0.99996,1.08e-07,0,0
-0.0020138,-0.0098789,0.99995,1.09e-07,0,0
-0.0020026,-0.010926,0.99994,1.1e-07,0,0
-0.0019902,-0.011957,0.99993,1.11e-07,0,0
-0.0019768,-0.012971,0.99991,1.12e-07,0,0
-0.0019624,-0.013967,0.9999,1.13e-07,0,0
-0.001947,-0.014943,0.99989,1.14e-07,0,0
-0.0019306,-0.015897,0.99987,1.15e-07,0,0
-0.0019133,-0.01683,0.99986,1.16e-07,0,0
-0.0018951,-0.017739,0.99984,1.17e-07,0,0
-0.001876,-0.018624,0.99982,1.18e-07,0,0
-0.0018561,-0.019483,0.99981,1.19e-07,0,0
-0.0018355,-0.020315,0.99979,1.2e-07,0,0
-0.0018141,-0.02112,0.99978,1.21e-07,0,0
-0.001792,-0.021897,0.99976,1.22e-07,0,0
-0.0017692,-0.022644,0.99974,1.23e-07,0,0
-0.0017459,-0.023361,0.99973,1.24e-07,0,0
-0.0017219,-0.024048,0.99971,1.25e-07,0,0
-0.0016975,-0.024704,0.99969,1.26e-07,0,0
-0.0016726,-0.025328,0.99968,1.27e-07,0,0
-0.0016472,-0.025919,0.99966,1.28e-07,0,0
-0.0016215,-0.026479,0.99965,1.29e-07,0,0
-0.0015954,-0.027005,0.99963,1.3e-07,0,0
-0.001569,-0.027497,0.99962,1.31e-07,0,0
-0.0015423,-0.027957,0.99961,1.32e-07,0,0
-0.0015154,-0.028382,0.9996,1.33e-07,0,0
-0.0014884,-0.028774,0.99958,1.34e-07,0,0
-0.0014612,-0.029132,0.99957,1.35e-07,0,0
-0.0014339,-0.029456,0.99957,1.36e-07,0,0
-0.0014065,-0.029746,0.99956,1.37e-07,0,0
-0.0013792,-0.030002,0.99955,1.38e-07,0,0
-0.0013518,-0.030225,0.99954,1.39e-07,0,0
-0.0013245,-0.030414,0.99954,1.4e-07,0,0
-0.0012972,-0.03057,0.99953,1.41e-07,0,0
-0.0012701,-0.030693,0.99953,1.42e-07,0,0
-0.0012431,-0.030784,0.99953,1.43e-07,0,0
-0.0012163,-0.030842,0.99952,1.44e-07,0,0
-0.0011897,-0.030869,0.99952,1.45e-07,0,0
-0.0011633,-0.030864,0.99952,1.46e-07,0,0
-0.0011372,-0.030828,0.99952,1.47e-07,0,0
-0.0011113,-0.030762,0.99953,1.48e-07,0,0
-0.0010858,-0.030665,0.99953,1.49e-07,0,0
-0.0010606,-0.030539,0.99953,1.5e-07,0,0
-0.0010357,-0.030384,0.99954,1.51e-07,0,0
-0.0010112,-0.030201,0.99954,1.52e-07,0,0
-0.00098704,-0.02999,0.99955,1.53e-07,0,0
-0.0009633,-0.029752,0.99956,1.54e-07,0,0
-0.00093998,-0.029488,0.99956,1.55e-07,0,0
-0.00091708,-0.029197,0.99957,1.56e-07,0,0
-0.00089462,-0.028881,0.99958,1.57e-07,0,0
-0.00087262,-0.028541,0.99959,1.58e-07,0,0
-0.00085108,-0.028177,0.9996,1.59e-07,0,0
-0.00083001,-0.027789,0.99961,1.6e-07,0,0
-0.00080943,-0.027379,0.99962,1.61e-07,0,0
-0.00078933,-0.026946,0.99964,1.62e-07,0,0
-0.00076973,-0.026493,0.99965,1.63e-07,0,0
-0.00075064,-0.026019,0.99966,1.64e-07,0,0
-0.00073206,-0.025524,0.99967,1.65e-07,0,0
-0.00071399,-0.025011,0.99969,1.66e-07,0,0
-0.00069643,-0.024479,0.9997,1.67e-07,0,0
-0.0006794,-0.023929,0.99971,1.68e-07,0,0
-0.00066289,-0.023362,0.99973,1.69e-07,0,0
-0.00064691,-0.022778,0.99974,1.7e-07,0,0
-0.00063146,-0.022178,0.99975,1.71e-07,0,0
-0.00061654,-0.021562,0.99977,1.72e-07,0,0
-0.00060214,-0.020932,0.99978,1.73e-07,0,0
-0.00058828,-0.020288,0.99979,1.74e-07,0,0
-0.00057495,-0.01963,0.99981,1.75e-07,0,0
-0.00056214,-0.018959,0.99982,1.76e-07,0,0
-0.00054987,-0.018276,0.99983,1.77e-07,0,0
-0.00053813,-0.017581,0.99985,1.78e-07,0,0
-0.00052691,-0.016875,0.99986,1.79e-07,0,0
-0.00051622,-0.016159,0.99987,1.8e-07,0,0
-0.00050605,-0.015432,0.99988,1.81e-07,0,0
-0.0004964,-0.014696,0.99989,1.82e-07,0,0
-0.00048728,-0.013951,0.9999,1.83e-07,0,0
-0.00047868,-0.013198,0.99991,1.84e-07,0,0
-0.00047059,-0.012436,0.99992,1.85e-07,0,0
-0.00046302,-0.011668,0.99993,1.86e-07,0,0
-0.00045597,-0.010892,0.99994,1.87e-07,0,0
-0.00044942,-0.01011,0.99995,1.88e-07,0,0
-0.00044339,-0.0093226,0.99996,1.89e-07,0,0
-0.00043787,-0.0085296,0.99996,1.9e-07,0,0
-0.00043285,-0.0077318,0.99997,1.91e-07,0,0
-0.00042834,-0.0069296,0.99998,1.92e-07,0,0
-0.00042434,-0.0061234,0.99998,1.93e-07,0,0
-0.00042084,-0.0053139,0.99999,1.94e-07,0,0
-0.00041784,-0.0045014,0.99999,1.95e-07,0,0
-0.00041534,-0.0036863,0.99999,1.96e-07,0,0
-0.00041334,-0.0028693,1,1.97e-07,0,0
-0.00041185,-0.0020506,1,1.98e-07,0,0
-0.00041085,-0.0012308,1,1.99e-07,0,0
-0.00041035,-0.00041035,1,2e-07,0,0
-0.0012308,0.00041084,1,0,1e-09,0
-0.0012323,0.0012323,1,1e-09,1e-09,0
-0.0012353,0.0020531,1,2e-09,1e-09,0
-0.0012398,0.0028727,1,3e-09,1e-09,0
-0.0012458,0.0036908,0.99999,4e-09,1e-09,0
