"m_zrange130_:0","m_zrange130_:1","m_zrange130_:2","Points:0","Points:1","Points:2"
-0.0014913,0.0014913,1,0,0,0
-0.0014928,0.0044729,0.99999,1e-09,0,0
-0.0014956,0.0074514,0.99997,2e-09,0,0
-0.0014999,0.010425,0.99994,3e-09,0,0
-0.0015056,0.01339,0.99991,4e-09,0,0
-0.0015128,0.016346,0.99987,5e-09,0,0
-0.0015213,0.019291,0.99981,6e-09,0,0
-0.0015314,0.022222,0.99975,7e-09,0,0
-0.0015428,0.025137,0.99968,8e-09,0,0
-0.0015557,0.028033,0.99961,9e-09,0,0
-0.00157,0.03091,0.99952,1e-08,0,0
-0.0015857,0.033764,0.99943,1.1e-08,0,0
-0.0016029,0.036594,0.99933,1.2e-08,0,0
-0.0016216,0.039398,0.99922,1.3e-08,0,0
-0.0016417,0.042172,0.99911,1.4e-08,0,0
-0.0016632,0.044916,0.99899,1.5e-08,0,0
-0.0016862,0.047627,0.99886,1.6e-08,0,0
-0.0017106,0.050303,0.99873,1.7e-08,0,0
-0.0017365,0.052942,0.9986,1.8e-08,0,0
-0.0017639,0.055541,0.99845,1.9e-08,0,0
-0.0017927,0.058099,0.99831,2e-08,0,0
-0.0018229,0.060613,0.99816,2.1e-08,0,0
-0.0018546,0.063082,0.99801,2.2e-08,0,0
-0.0018878,0.065502,0.99785,2.3e-08,0,0
-0.0019224,0.067873,0.99769,2.4e-08,0,0
-0.0019585,0.070191,0.99753,2.5e-08,0,0
-0.001996,0.072456,0.99737,2.6e-08,0,0
-0.002035,0.074663,0.99721,2.7e-08,0,0
-0.0020754,0.076813,0.99704,2.8e-08,0,0
-0.0021172,0.078901,0.99688,2.9e-08,0,0
-0.0021605,0.080928,0.99672,3e-08,0,0
-0.0022052,0.082889,0.99656,3.1e-08,0,0
-0.0022513,0.084783,0.9964,3.2e-08,0,0
-0.0022988,0.086609,0.99624,3.3e-08,0,0
-0.0023477,0.088364,0.99609,3.4e-08,0,0
-0.0023979,0.090045,0.99593,3.5e-08,0,0
-0.0024495,0.091652,0.99579,3.6e-08,0,0
-0.0025025,0.093182,0.99565,3.7e-08,0,0
-0.0025568,0.094633,0.99551,3.8e-08,0,0
-0.0026124,0.096004,0.99538,3.9e-08,0,0
-0.0026692,0.097291,0.99525,4e-08,0,0
-0.0027274,0.098494,0.99513,4.1e-08,0,0
-0.0027867,0.099611,0.99502,4.2e-08,0,0
-0.0028472,0.10064,0.99492,4.3e-08,0,0
-0.0029089,0.10158,0.99482,4.4e-08,0,0
-0.0029717,0.10243,0.99474,4.5e-08,0,0
-0.0030356,0.10318,0.99466,4.6e-08,0,0
-0.0031005,0.10384,0.99459,4.7e-08,0,0
-0.0031665,0.1044,0.99453,4.8e-08,0,0
-0.0032334,0.10487,0.99448,4.9e-08,0,0
-0.0033011,0.10523,0.99444,5e-08,0,0
-0.0033698,0.1055,0.99441,5.1e-08,0,0
-0.0034392,0.10566,0.9944,5.2e-08,0,0
-0.0035093,0.10572,0.99439,5.3e-08,0,0
-0.0035801,0.10568,0.99439,5.4e-08,0,0
-0.0036515,0.10553,0.99441,5.5e-08,0,0
-0.0037235,0.10528,0.99444,5.6e-08,0,0
-0.0037958,0.10492,0.99447,5.7e-08,0,0
-0.0038686,0.10445,0.99452,5.8e-08,0,0
-0.0039417,0.10388,0.99458,5.9e-08,0,0
-0.0040149,0.10319,0.99465,6e-08,0,0
-0.0040884,0.1024,0.99473,6.1e-08,0,0
-0.0041618,0.1015,0.99483,6.2e-08,0,0
-0.0042352,0.10049,0.99493,6.3e-08,0,0
-0.0043085,0.099371,0.99504,6.4e-08,0,0
-0.0043815,0.098143,0.99516,6.5e-08,0,0
-0.0044542,0.096807,0.99529,6.6e-08,0,0
-0.0045264,0.095363,0.99543,6.7e-08,0,0
-0.0045981,0.093812,0.99558,6.8e-08,0,0
-0.0046691,0.092155,0.99573,6.9e-08,0,0
-0.0047394,0.090392,0.9959,7e-08,0,0
-0.0048088,0.088524,0.99606,7.1e-08,0,0
-0.0048772,0.086554,0.99624,7.2e-08,0,0
-0.0049445,0.084482,0.99641,7.3e-08,0,0
-0.0050106,0.082311,0.99659,7.4e-08,0,0
-0.0050754,0.080041,0.99678,7.5e-08,0,0
-0.0051388,0.077674,0.99697,7.6e-08,0,0
-0.0052006,0.075214,0.99715,7.7e-08,0,0
-0.0052608,0.072662,0.99734,7.8e-08,0,0
-0.0053192,0.070021,0.99753,7.9e-08,0,0
-0.0053758,0.067293,0.99772,8e-08,0,0
-0.0054303,0.064482,0.9979,8.1e-08,0,0
-0.0054828,0.061589,0.99809,8.2e-08,0,0
-0.0055331,0.058619,0.99827,8.3e-08,0,0
-0.0055811,0.055575,0.99844,8.4e-08,0,0
-0.0056267,0.05246,0.99861,8.5e-08,0,0
-0.0056699,0.049278,0.99877,8.6e-08,0,0
-0.0057105,0.046033,0.99892,8.7e-08,0,0
-0.0057484,0.042727,0.99907,8.8e-08,0,0
-0.0057837,0.039367,0.99921,8.9e-08,0,0
-0.0058161,0.035955,0.99934,9e-08,0,0
-0.0058456,0.032496,0.99945,9.1e-08,0,0
-0.0058722,0.028994,0.99956,9.2e-08,0,0
-0.0058958,0.025455,0.99966,9.3e-08,0,0
-0.0059164,0.021881,0.99974,9.4e-08,0,0
-0.0059339,0.018279,0.99982,9.5e-08,0,0
-0.0059483,0.014652,0.99988,9.6e-08,0,0
-0.0059595,0.011006,0.99992,9.7e-08,0,0
-0.0059675,0.0073457,0.99996,9.8e-08,0,0
-0.0059723,0.0036753,0.99998,9.9e-08,0,0
-0.0059739,2.2857e-08,0.99998,1e-07,0,0
-0.0059723,-0.0036753,0.99998,1.01e-07,0,0
-0.0059675,-0.0073456,0.99996,1.02e-07,0,0
-0.0059595,-0.011006,0.99992,1.03e-07,0,0
-0.0059483,-0.014652,0.99988,1.04e-07,0,0
-0.0059339,-0.018279,0.99982,1.05e-07,0,0
-0.0059164,-0.021881,0.99974,1.06e-07,0,0
-0.0058958,-0.025454,0.99966,1.07e-07,0,0
-0.0058722,-0.028994,0.99956,1.08e-07,0,0
-0.0058456,-0.032496,0.99945,1.09e-07,0,0
-0.0058161,-0.035955,0.99934,1.1e-07,0,0
-0.0057836,-0.039367,0.99921,1.11e-07,0,0
-0.0057484,-0.042727,0.99907,1.12e-07,0,0
-0.0057105,-0.046032,0.99892,1.13e-07,0,0
-0.0056699,-0.049278,0.99877,1.14e-07,0,0
-0.0056267,-0.05246,0.99861,1.15e-07,0,0
-0.0055811,-0.055575,0.99844,1.16e-07,0,0
-0.0055331,-0.058619,0.99827,1.17e-07,0,0
-0.0054828,-0.061589,0.99809,1.18e-07,0,0
-0.0054303,-0.064482,0.9979,1.19e-07,0,0
-0.0053758,-0.067293,0.99772,1.2e-07,0,0
-0.0053192,-0.070021,0.99753,1.21e-07,0,0
-0.0052608,-0.072662,0.99734,1.22e-07,0,0
-0.0052006,-0.075214,0.99715,1.23e-07,0,0
-0.0051388,-0.077674,0.99697,1.24e-07,0,0
-0.0050754,-0.080041,0.99678,1.25e-07,0,0
-0.0050106,-0.08231,0.99659,1.26e-07,0,0
-0.0049445,-0.084482,0.99641,1.27e-07,0,0
-0.0048772,-0.086554,0.99624,1.28e-07,0,0
-0.0048088,-0.088524,0.99606,1.29e-07,0,0
-0.0047394,-0.090392,0.9959,1.3e-07,0,0
-0.0046691,-0.092155,0.99573,1.31e-07,0,0
-0.0045981,-0.093812,0.99558,1.32e-07,0,0
-0.0045264,-0.095363,0.99543,1.33e-07,0,0
-0.0044542,-0.096807,0.99529,1.34e-07,0,0
-0.0043815,-0.098143,0.99516,1.35e-07,0,0
-0.0043085,-0.099371,0.99504,1.36e-07,0,0
-0.0042352,-0.10049,0.99493,1.37e-07,0,0
-0.0041618,-0.1015,0.99483,1.38e-07,0,0
-0.0040884,-0.1024,0.99473,1.39e-07,0,0
-0.0040149,-0.10319,0.99465,1.4e-07,0,0
-0.0039417,-0.10388,0.99458,1.41e-07,0,0
-0.0038686,-0.10445,0.99452,1.42e-07,0,0
-0.0037958,-0.10492,0.99447,1.43e-07,0,0
-0.0037235,-0.10528,0.99444,1.44e-07,0,0
-0.0036515,-0.10553,0.99441,1.45e-07,0,0
-0.0035801,-0.10568,0.99439,1.46e-07,0,0
-0.0035093,-0.10572,0.99439,1.47e-07,0,0
-0.0034392,-0.10566,0.9944,1.48e-07,0,0
-0.0033698,-0.1055,0.99441,1.49e-07,0,0
-0.0033011,-0.10523,0.99444,1.5e-07,0,0
-0.0032334,-0.10487,0.99448,1.51e-07,0,0
-0.0031665,-0.1044,0.99453,1.52e-07,0,0
