"m_zrange285_:0","m_zrange285_:1","m_zrange285_:2","Points:0","Points:1","Points:2"
-5.655e-06,-5.6432e-06,-1,0,0,0
-1.6957e-05,-5.6554e-06,-1,1e-09,0,0
-2.8259e-05,-5.6805e-06,-1,2e-09,0,0
-3.9556e-05,-5.7166e-06,-1,3e-09,0,0
-5.085e-05,-5.7639e-06,-1,4e-09,0,0
-6.214e-05,-5.8205e-06,-1,5e-09,0,0
-7.3426e-05,-5.891e-06,-1,6e-09,0,0
-8.4705e-05,-5.9739e-06,-1,7e-09,0,0
-9.5976e-05,-6.0688e-06,-1,8e-09,0,0
-0.00010723,-6.1772e-06,-1,9e-09,0,0
-0.00011848,-6.2951e-06,-1,1e-08,0,0
-0.00012971,-6.4285e-06,-1,1.1e-08,0,0
-0.00014093,-6.5703e-06,-1,1.2e-08,0,0
-0.00015213,-6.7291e-06,-1,1.3e-08,0,0
-0.00016331,-6.8992e-06,-1,1.4e-08,0,0
-0.00017446,-7.0838e-06,-1,1.5e-08,0,0
-0.00018558,-7.2779e-06,-1,1.6e-08,0,0
-0.00019667,-7.4903e-06,-1,1.7e-08,0,0
-0.00020773,-7.7126e-06,-1,1.8e-08,0,0
-0.00021874,-7.9519e-06,-1,1.9e-08,0,0
-0.00022971,-8.2048e-06,-1,2e-08,0,0
-0.00024063,-8.4727e-06,-1,2.1e-08,0,0
-0.00025149,-8.755e-06,-1,2.2e-08,0,0
-0.00026229,-9.0518e-06,-1,2.3e-08,0,0
-0.00027302,-9.3657e-06,-1,2.4e-08,0,0
-0.00028367,-9.6951e-06,-1,2.5e-08,0,0
-0.00029424,-1.004e-05,-1,2.6e-08,0,0
-0.00030472,-1.0398e-05,-1,2.7e-08,0,0
-0.00031509,-1.0774e-05,-1,2.8e-08,0,0
-0.00032535,-1.1168e-05,-1,2.9e-08,0,0
-0.00033549,-1.158e-05,-1,3e-08,0,0
-0.0003455,-1.2006e-05,-1,3.1e-08,0,0
-0.00035538,-1.2451e-05,-1,3.2e-08,0,0
-0.00036509,-1.2914e-05,-1,3.3e-08,0,0
-0.00037464,-1.3393e-05,-1,3.4e-08,0,0
-0.00038402,-1.3892e-05,-1,3.5e-08,0,0
-0.0003932,-1.4407e-05,-1,3.6e-08,0,0
-0.00040218,-1.4941e-05,-1,3.7e-08,0,0
-0.00041093,-1.5496e-05,-1,3.8e-08,0,0
-0.00041946,-1.6072e-05,-1,3.9e-08,0,0
-0.00042774,-1.6662e-05,-1,4e-08,0,0
-0.00043575,-1.7268e-05,-1,4.1e-08,0,0
-0.00044348,-1.7896e-05,-1,4.2e-08,0,0
-0.00045092,-1.8545e-05,-1,4.3e-08,0,0
-0.00045804,-1.9211e-05,-1,4.4e-08,0,0
-0.00046483,-1.9894e-05,-1,4.5e-08,0,0
-0.00047127,-2.0598e-05,-1,4.6e-08,0,0
-0.00047734,-2.1321e-05,-1,4.7e-08,0,0
-0.00048303,-2.2061e-05,-1,4.8e-08,0,0
-0.00048832,-2.282e-05,-1,4.9e-08,0,0
-0.00049318,-2.3597e-05,-1,5e-08,0,0
-0.0004976,-2.4389e-05,-1,5.1e-08,0,0
-0.00050157,-2.5195e-05,-1,5.2e-08,0,0
-0.00050505,-2.6022e-05,-1,5.3e-08,0,0
-0.00050804,-2.6858e-05,-1,5.4e-08,0,0
-0.00051052,-2.7714e-05,-1,5.5e-08,0,0
-0.00051246,-2.858e-05,-1,5.6e-08,0,0
-0.00051386,-2.946e-05,-1,5.7e-08,0,0
-0.00051469,-3.0352e-05,-1,5.8e-08,0,0
