"m_zrange285_:0","m_zrange285_:1","m_zrange285_:2","Points:0","Points:1","Points:2"
-2.7501e-05,-2.7517e-05,-1,0,0,0
-8.2525e-05,-2.7579e-05,-1,1e-09,0,0
-0.00013754,-2.7694e-05,-1,2e-09,0,0
-0.00019255,-2.7868e-05,-1,3e-09,0,0
-0.00024754,-2.81e-05,-1,4e-09,0,0
-0.00030252,-2.8392e-05,-1,5e-09,0,0
-0.00035747,-2.8743e-05,-1,6e-09,0,0
-0.0004124,-2.9152e-05,-1,7e-09,0,0
-0.0004673,-2.9622e-05,-1,8e-09,0,0
-0.00052216,-3.0157e-05,-1,9e-09,0,0
-0.00057698,-3.0747e-05,-1,1e-08,0,0
-0.00063175,-3.1406e-05,-1,1.1e-08,0,0
-0.00068645,-3.2126e-05,-1,1.2e-08,0,0
-0.00074107,-3.2918e-05,-1,1.3e-08,0,0
-0.00079561,-3.3769e-05,-1,1.4e-08,0,0
-0.00085004,-3.4683e-05,-1,1.5e-08,0,0
-0.00090436,-3.5662e-05,-1,1.6e-08,0,0
-0.00095853,-3.6712e-05,-1,1.7e-08,0,0
-0.0010126,-3.7832e-05,-1,1.8e-08,0,0
-0.0010664,-3.9031e-05,-1,1.9e-08,0,0
-0.00112,-4.0292e-05,-1,2e-08,0,0
-0.0011735,-4.1631e-05,-1,2.1e-08,0,0
-0.0012266,-4.3043e-05,-1,2.2e-08,0,0
-0.0012795,-4.4524e-05,-1,2.3e-08,0,0
-0.0013321,-4.6089e-05,-1,2.4e-08,0,0
-0.0013843,-4.7732e-05,-1,2.5e-08,0,0
-0.0014361,-4.9449e-05,-1,2.6e-08,0,0
-0.0014875,-5.1253e-05,-1,2.7e-08,0,0
-0.0015385,-5.3139e-05,-1,2.8e-08,0,0
-0.0015889,-5.511e-05,-1,2.9e-08,0,0
-0.0016387,-5.7162e-05,-1,3e-08,0,0
-0.001688,-5.9304e-05,-1,3.1e-08,0,0
-0.0017365,-6.1536e-05,-1,3.2e-08,0,0
-0.0017844,-6.3854e-05,-1,3.3e-08,0,0
-0.0018315,-6.6263e-05,-1,3.4e-08,0,0
-0.0018777,-6.8758e-05,-1,3.5e-08,0,0
-0.001923,-7.1343e-05,-1,3.6e-08,0,0
-0.0019673,-7.4023e-05,-1,3.7e-08,0,0
-0.0020106,-7.6799e-05,-1,3.8e-08,0,0
-0.0020528,-7.9661e-05,-1,3.9e-08,0,0
-0.0020937,-8.2621e-05,-1,4e-08,0,0
-0.0021334,-8.5677e-05,-1,4.1e-08,0,0
-0.0021717,-8.8826e-05,-1,4.2e-08,0,0
-0.0022086,-9.2064e-05,-1,4.3e-08,0,0
-0.002244,-9.5396e-05,-1,4.4e-08,0,0
-0.0022778,-9.8823e-05,-1,4.5e-08,0,0
-0.0023099,-0.00010234,-1,4.6e-08,0,0
-0.0023402,-0.00010594,-1,4.7e-08,0,0
-0.0023686,-0.00010964,-1,4.8e-08,0,0
-0.002395,-0.00011342,-1,4.9e-08,0,0
-0.0024194,-0.00011729,-1,5e-08,0,0
-0.0024416,-0.00012123,-1,5.1e-08,0,0
-0.0024616,-0.00012526,-1,5.2e-08,0,0
-0.0024793,-0.00012936,-1,5.3e-08,0,0
-0.0024945,-0.00013355,-1,5.4e-08,0,0
-0.0025072,-0.0001378,-1,5.5e-08,0,0
-0.0025173,-0.00014212,-1,5.6e-08,0,0
-0.0025247,-0.0001465,-1,5.7e-08,0,0
-0.0025293,-0.00015094,-1,5.8e-08,0,0
-0.0025311,-0.00015543,-1,5.9e-08,0,0
-0.0025298,-0.00015996,-1,6e-08,0,0
-0.0025256,-0.00016454,-1,6.1e-08,0,0
-0.0025182,-0.00016916,-1,6.2e-08,0,0
-0.0025077,-0.00017381,-1,6.3e-08,0,0
-0.0024939,-0.00017848,-1,6.4e-08,0,0
-0.0024768,-0.00018316,-1,6.5e-08,0,0
-0.0024563,-0.00018785,-1,6.6e-08,0,0
-0.0024325,-0.00019253,-1,6.7e-08,0,0
-0.0024052,-0.00019722,-1,6.8e-08,0,0
-0.0023745,-0.00020188,-1,6.9e-08,0,0
-0.0023402,-0.00020653,-1,7e-08,0,0
-0.0023025,-0.00021113,-1,7.1e-08,0,0
-0.0022612,-0.00021569,-1,7.2e-08,0,0
-0.0022165,-0.0002202,-1,7.3e-08,0,0
-0.0021682,-0.00022466,-1,7.4e-08,0,0
-0.0021165,-0.00022904,-1,7.5e-08,0,0
-0.0020614,-0.00023334,-1,7.6e-08,0,0
-0.0020028,-0.00023755,-1,7.7e-08,0,0
-0.0019408,-0.00024167,-1,7.8e-08,0,0
-0.0018756,-0.00024567,-1,7.9e-08,0,0
-0.0018071,-0.00024955,-1,8e-08,0,0
-0.0017355,-0.00025331,-1,8.1e-08,0,0
-0.0016608,-0.00025693,-1,8.2e-08,0,0
-0.0015832,-0.00026041,-1,8.3e-08,0,0
-0.0015027,-0.00026373,-1,8.4e-08,0,0
-0.0014194,-0.0002669,-1,8.5e-08,0,0
-0.0013336,-0.00026989,-1,8.6e-08,0,0
-0.0012453,-0.00027271,-1,8.7e-08,0,0
-0.0011546,-0.00027533,-1,8.8e-08,0,0
-0.0010618,-0.00027777,-1,8.9e-08,0,0
-0.00096693,-0.00028001,-1,9e-08,0,0
-0.00087024,-0.00028204,-1,9.1e-08,0,0
-0.00077188,-0.00028386,-1,9.2e-08,0,0
-0.00067203,-0.00028546,-1,9.3e-08,0,0
-0.00057087,-0.00028684,-1,9.4e-08,0,0
-0.0004686,-0.000288,-1,9.5e-08,0,0
-0.00036542,-0.00028894,-1,9.6e-08,0,0
-0.00026152,-0.00028963,-1,9.7e-08,0,0
-0.00015712,-0.0002901,-1,9.8e-08,0,0
-5.2399e-05,-0.00029034,-1,9.9e-08,0,0
5.2416e-05,-0.00029034,-1,1e-07,0,0
0.00015713,-0.0002901,-1,1.01e-07,0,0
0.00026154,-0.00028964,-1,1.02e-07,0,0
0.00036544,-0.00028894,-1,1.03e-07,0,0
0.00046861,-0.00028801,-1,1.04e-07,0,0
0.00057088,-0.00028685,-1,1.05e-07,0,0
0.00067204,-0.00028548,-1,1.06e-07,0,0
0.00077189,-0.00028387,-1,1.07e-07,0,0
0.00087025,-0.00028206,-1,1.08e-07,0,0
0.00096693,-0.00028002,-1,1.09e-07,0,0
0.0010618,-0.00027779,-1,1.1e-07,0,0
0.0011546,-0.00027536,-1,1.11e-07,0,0
0.0012453,-0.00027274,-1,1.12e-07,0,0
0.0013336,-0.00026992,-1,1.13e-07,0,0
0.0014194,-0.00026693,-1,1.14e-07,0,0
0.0015027,-0.00026377,-1,1.15e-07,0,0
0.0015832,-0.00026045,-1,1.16e-07,0,0
0.0016608,-0.00025698,-1,1.17e-07,0,0
0.0017355,-0.00025335,-1,1.18e-07,0,0
0.0018071,-0.00024959,-1,1.19e-07,0,0
0.0018756,-0.00024571,-1,1.2e-07,0,0
0.0019408,-0.00024171,-1,1.21e-07,0,0
0.0020028,-0.00023759,-1,1.22e-07,0,0
0.0020613,-0.00023338,-1,1.23e-07,0,0
0.0021165,-0.00022908,-1,1.24e-07,0,0
0.0021682,-0.0002247,-1,1.25e-07,0,0
0.0022165,-0.00022025,-1,1.26e-07,0,0
0.0022612,-0.00021573,-1,1.27e-07,0,0
0.0023025,-0.00021117,-1,1.28e-07,0,0
0.0023402,-0.00020657,-1,1.29e-07,0,0
0.0023745,-0.00020193,-1,1.3e-07,0,0
0.0024052,-0.00019726,-1,1.31e-07,0,0
0.0024325,-0.00019258,-1,1.32e-07,0,0
0.0024563,-0.0001879,-1,1.33e-07,0,0
0.0024768,-0.0001832,-1,1.34e-07,0,0
0.0024939,-0.00017852,-1,1.35e-07,0,0
0.0025077,-0.00017385,-1,1.36e-07,0,0
0.0025182,-0.0001692,-1,1.37e-07,0,0
0.0025256,-0.00016459,-1,1.38e-07,0,0
0.0025299,-0.00016001,-1,1.39e-07,0,0
0.0025311,-0.00015547,-1,1.4e-07,0,0
0.0025293,-0.00015098,-1,1.41e-07,0,0
0.0025247,-0.00014655,-1,1.42e-07,0,0
0.0025173,-0.00014216,-1,1.43e-07,0,0
0.0025072,-0.00013784,-1,1.44e-07,0,0
0.0024945,-0.00013359,-1,1.45e-07,0,0
0.0024793,-0.00012941,-1,1.46e-07,0,0
0.0024616,-0.0001253,-1,1.47e-07,0,0
0.0024416,-0.00012127,-1,1.48e-07,0,0
0.0024194,-0.00011732,-1,1.49e-07,0,0
0.002395,-0.00011344,-1,1.5e-07,0,0
0.0023686,-0.00010966,-1,1.51e-07,0,0
0.0023402,-0.00010597,-1,1.52e-07,0,0
0.0023099,-0.00010237,-1,1.53e-07,0,0
0.0022778,-9.8849e-05,-1,1.54e-07,0,0
0.002244,-9.5423e-05,-1,1.55e-07,0,0
0.0022086,-9.2086e-05,-1,1.56e-07,0,0
0.0021717,-8.8841e-05,-1,1.57e-07,0,0
0.0021334,-8.5701e-05,-1,1.58e-07,0,0
0.0020937,-8.2643e-05,-1,1.59e-07,0,0
0.0020527,-7.9687e-05,-1,1.6e-07,0,0
0.0020106,-7.6825e-05,-1,1.61e-07,0,0
0.0019673,-7.4049e-05,-1,1.62e-07,0,0
0.001923,-7.1365e-05,-1,1.63e-07,0,0
0.0018777,-6.8773e-05,-1,1.64e-07,0,0
