"m_zrange285_:0","m_zrange285_:1","m_zrange285_:2","Points:0","Points:1","Points:2"
-1.9405e-05,-1.941e-05,-1,0,0,0
-5.8218e-05,-1.9451e-05,-1,1e-09,0,0
-9.703e-05,-1.9531e-05,-1,2e-09,0,0
-0.00013583,-1.9652e-05,-1,3e-09,0,0
-0.00017463,-1.9815e-05,-1,4e-09,0,0
-0.0002134,-2.0019e-05,-1,5e-09,0,0
-0.00025216,-2.0264e-05,-1,6e-09,0,0
-0.0002909,-2.055e-05,-1,7e-09,0,0
-0.00032961,-2.0877e-05,-1,8e-09,0,0
-0.00036829,-2.1248e-05,-1,9e-09,0,0
-0.00040693,-2.1663e-05,-1,1e-08,0,0
-0.00044553,-2.2118e-05,-1,1.1e-08,0,0
-0.00048408,-2.2617e-05,-1,1.2e-08,0,0
-0.00052256,-2.3164e-05,-1,1.3e-08,0,0
-0.00056097,-2.3751e-05,-1,1.4e-08,0,0
-0.00059931,-2.4387e-05,-1,1.5e-08,0,0
-0.00063755,-2.5072e-05,-1,1.6e-08,0,0
-0.00067569,-2.5804e-05,-1,1.7e-08,0,0
-0.00071371,-2.6581e-05,-1,1.8e-08,0,0
-0.0007516,-2.7412e-05,-1,1.9e-08,0,0
-0.00078934,-2.8288e-05,-1,2e-08,0,0
-0.0008269,-2.9217e-05,-1,2.1e-08,0,0
-0.00086428,-3.0194e-05,-1,2.2e-08,0,0
-0.00090145,-3.1227e-05,-1,2.3e-08,0,0
-0.00093838,-3.2312e-05,-1,2.4e-08,0,0
-0.00097506,-3.3455e-05,-1,2.5e-08,0,0
-0.0010115,-3.4649e-05,-1,2.6e-08,0,0
-0.0010475,-3.5902e-05,-1,2.7e-08,0,0
-0.0010833,-3.721e-05,-1,2.8e-08,0,0
-0.0011186,-3.858e-05,-1,2.9e-08,0,0
-0.0011536,-4.0001e-05,-1,3e-08,0,0
-0.0011881,-4.149e-05,-1,3.1e-08,0,0
-0.0012221,-4.3031e-05,-1,3.2e-08,0,0
-0.0012557,-4.4643e-05,-1,3.3e-08,0,0
-0.0012886,-4.631e-05,-1,3.4e-08,0,0
-0.0013209,-4.8045e-05,-1,3.5e-08,0,0
-0.0013526,-4.9838e-05,-1,3.6e-08,0,0
-0.0013836,-5.1698e-05,-1,3.7e-08,0,0
-0.0014139,-5.3622e-05,-1,3.8e-08,0,0
-0.0014433,-5.5613e-05,-1,3.9e-08,0,0
-0.0014719,-5.7667e-05,-1,4e-08,0,0
-0.0014996,-5.9783e-05,-1,4.1e-08,0,0
-0.0015264,-6.1963e-05,-1,4.2e-08,0,0
-0.0015521,-6.4209e-05,-1,4.3e-08,0,0
-0.0015767,-6.6525e-05,-1,4.4e-08,0,0
